"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"H3",,"1969-07-02T00:00:00.000","1:35 AM",,"22.2","22.2",,,,"10.3","10.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"4","4.9",,,,"9500","35000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.1","4.1",,,,,,"-73.933833","40.828000","Permanent"
"x647_1909",,"1909-07-10T00:00:00.000","1:05 PM",,"19",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140000",,,,,,,,,,,,,,,,,"-73.993290","40.581686","Permanent"
"K1",,"1991-06-13T00:00:00.000","11:04 AM",,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,"E",,,,"5.6","6.1","5",,,"1300","1300",,,"200","180",,,,,"0.21",,"0.34",,"0.081",,,,,,"0.14",,"22","25","2.2",,,,,,,,,,,,,,,,,,,,,,,,,"0.9","1.1",,,,,,"-74.081945","40.651112","Permanent"
"H4",,"1965-08-23T00:00:00.000","9:20 AM",,"23.3","22.8","20",,,"24.15","25.9",,,,,,,,,,,,,,,,,,,,,"SW",,,,"0.8","1.2",,,,"330","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"NH",,"1991-05-21T00:00:00.000","9:30 AM",,"15.5","14.2","73",,,"21.3","26.4",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.9","7.1","5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.038021","40.609818","Permanent"
"x384_1909",,"1909-05-12T00:00:00.000","3:43 PM",,,,,,"40",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3800",,,,,,,,,,,,,,,,"-74.030000","40.700278","Permanent"
"N3A",,"1966-09-14T00:00:00.000","12:27 PM",,"22.2","21.7","43",,,"22.4","23.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.7","2.5",,,,"1700","490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-73.992497","40.783330","Permanent"
"x33_1909",,"1909-03-24T00:00:00.000","3:40 PM",,"3",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39400",,,,,,,,,,,,,,,,,"-74.043029","40.633480","Permanent"
"E5",,"1967-08-07T00:00:00.000","11:35 AM",,"21.7","21.7","66",,,"28.35","28.35",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.4","2.8",,,,"1400","2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3",,,,,,,,,,,,"-73.886111","40.800833","Permanent"
"N1",,"1968-07-24T00:00:00.000","12:00 PM",,"24.4","24.4",,,,"9.4","11.8",,,,,,,,,,,,,,,,,,,,,"S",,,,"7.3","6",,,,"3300","17000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.5","4.9",,,,,,"-73.916167","40.914500","Permanent"
"H3",,"1990-07-11T00:00:00.000",,,"23.2","23.2",,,,"12.1","12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4900","7900",,,,,,,,,"0.22",,"0.32",,"0.069",,,,,,"0.14",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.7",,,,,,"-73.933833","40.828000","Permanent"
"TNQ",,"1971-08-09T00:00:00.000","11:15 AM",,"21.7","21.7",,,,"24","24",,,,,,,,,,,,,,,,,,,,,"NE",,,,"3.6","2.3",,,,"1300","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.792040","40.794940","Permanent"
"K2",,"1931-08-13T00:00:00.000","11:30 AM",,"25.6","24.4","21",,,"20.65","23.1",,,,,,,,,,,,,,,,,,,,,"SL",,,,"1.83","1.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.153000","40.641167","Permanent"
"J3",,"1998-04-01T00:00:00.000","11:43 AM",,"10.57","9.85","34","3.28","32.8","26.2","26.77","2.97","2.98","14.49","13.29","9.43","9.55","59.18","58.25","20","20.56",,,,,"5.25","5.4",,,,,"N","8","S","1","14.95","13.38","4","8.37","8.27",,,,,,,,,,,"0.062",,"0.093",,,,"1.53",,"0.051","0.045","0.182",,"11","14","151.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.882833","40.627000","Permanent"
"N9",,"1949-07-19T00:00:00.000","10:40 AM",,"25","25","20",,,"28.7","30.1",,,,,,,,,,,,,,,,,,,,,"E",,,,"3.7","4.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.983333","40.568333","Permanent"
"x609_1911_DO",,"1911-07-27T00:00:00.000","9:57 AM",,,"22",,,"35",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,"3.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.001389","40.700000","Permanent"
"N8",,"1966-07-26T00:00:00.000","12:50 PM",,"23.3","23.3","90",,,"27.65","29.05",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.8","4.9",,,,"1100","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3",,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"N1",,"1998-05-19T00:00:00.000","12:31 PM",,"17.85","15.05","49","3.28","39.36","1.89","10.63","0.31","1.45","8.65","7.17","92.22","76.06","29.99","16.72","0.07","7.26","-99","-99",,,"12.04","18.07",,,,,"S","11","N","2","9.24","7.63","2","7.8","7.51",,,,,"22","42",,,,,"0.45",,"0.05",,,,"0.702",,"3.93",,"0.084",,"20","31","10.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.916167","40.914500","Permanent"
"N7",,"1958-06-17T00:00:00.000","9:35 AM",,"16.7","15.6","47",,,"24.85","26.25",,,,,,,,,,,,,,,,,,,,,"E",,,,"5.8","5.8",,,,"460","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"E4",,"1998-11-04T00:00:00.000","11:34 AM",,"13.51","13.46","68","3.28","52.48","23.54","23.88","2.9","2.93","8.99","12.71","99.97","141.5","43.49","61.81","17.45","17.71","-99","-99",,,"43.61","4.81",,,,,"W","15","N","2","6.67","6.55","4.5","7.46","7.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.922000","40.782500","Permanent"
"E6",,"1948-07-27T00:00:00.000","11:40 AM",,"21.1","21.1","14",,,"26.6","26.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.5","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.8","0.7","1","1",,,,,,,,"-73.860833","40.785500","Permanent"
"x716_1911_DO",,"1911-08-01T00:00:00.000","2:00 PM",,"22",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,"5.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.711111","40.829167","Permanent"
"J2",,"1986-07-10T00:00:00.000","12:00 PM",,"22","21","27",,,"27","28",,,,,,,,,,,,,,,,,,,,,"S",,,,"7.1","6.5","5","8.1","8.2","450","1300",,,"2","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.3","6.6",,,,,,"-73.885835","40.608055","Permanent"
"E6",,"1994-11-02T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.860833","40.785500","Permanent"
"N2",,"1940-08-01T00:00:00.000","1:20 PM",,"25","24.4","44",,,"8.4","16.1",,,,,,,,,,,,,,,,,,,,,,,,,"7.89","2.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.235","0.29","2","1",,,,,,,,"-73.930268","40.879447","Permanent"
"H1",,"1950-08-30T00:00:00.000","12:45 PM",,"25","24.4","20",,,"16.8","17.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"2","1.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","1","2.6","0.37","3","2",,,,,,,,"-73.923884","40.878055","Permanent"
"H3",,"1972-08-21T00:00:00.000","1:00 PM",,"22.2","22.2",,,,"20.2","20.2",,,,,,,,,,,,,,,,,,,,,"NW",,,,"4.8","3.1",,,,"54000","22000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8","2.7",,,,,,"-73.933833","40.828000","Permanent"
"K2",,"1997-09-24T00:00:00.000","10:25 AM",,"20.04","20.08","23","3.28","22.96","22.55","22.66","3.23","3.25","5.27","5.18","66.35","65.32","65.95","66.36","15.29","15.36","1.12","1.09",,,"4.16","4.1",,,,,"W","6","N","1","6.03","5.95","5.5","7.38","7.39",,,,,"20","15",,,,,"0.596",,"0.564",,"0.192",,"0.941",,,,"0.256",,"18","18","8.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.153000","40.641167","Permanent"
"N6",,"1964-06-30T00:00:00.000","9:30 AM",,"21.1","20","56",,,"26.6","26.95",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.4","3.8",,,,"460","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-74.051333","40.664667","Permanent"
"N4",,"1963-08-21T00:00:00.000","11:00 AM",,"23.9","22.8","52",,,"23.45","27.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.9","1.9",,,,"1100","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","2",,,,,,,,,,,,"-74.005833","40.764500","Permanent"
"J2",,"1983-08-18T00:00:00.000","11:30 AM",,"23.3","22.8",,,,"29.9","29.7",,,,,,,,,,,,,,,,,,,,,"W",,,,"6.8","5.2",,,,"200","200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4","1.7",,,,,,"-73.885835","40.608055","Permanent"
"J2",,"1983-08-18T00:00:00.000","11:30 AM",,"23.3","22.8",,,,"29.9","29.7",,,,,,,,,,,,,,,,,,,,,"W",,,,"6.8","5.2",,,,"200","200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4","1.7",,,,,,"-73.885835","40.608055","Permanent"
"H4",,"1942-07-21T00:00:00.000",,,"24.4","23.9","20",,,"21.7","21.35",,,,,,,,,,,,,,,,,,,,,,,,,"0.96","1.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","4",,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"N5",,"1925-07-09T00:00:00.000","3:20 PM",,"22.2","21.1","49",,,"26.25","28",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.63","3.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"N3B",,"1955-07-27T00:00:00.000","11:15 AM",,"26.7","26.1","65",,,"15.05","25.9",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.6","1.4",,,,"23","93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1","0.041","0.031",,,,,,,,,,"-73.965333","40.820833","Permanent"
"E2",,"1933-08-29T00:00:00.000","10:30 AM",,"23.3","22.8","40",,,"23.1","24.5",,,,,,,,,,,,,,,,,,,,,"S",,,,"0","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.970000","40.735333","Permanent"
"N3B",,"1955-06-08T00:00:00.000","12:05 PM",,"17.2","16.7","65",,,"19.95","18.55",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.2","3.9",,,,"1100","93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","0.34","0.086",,,,,,,,,,"-73.965333","40.820833","Permanent"
"N3B",,"1960-06-29T00:00:00.000","11:30 AM",,"23.9","21.7","65",,,"14.7","20.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.2","2.9",,,,"240","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-73.965333","40.820833","Permanent"
"H4",,"1994-08-25T00:00:00.000","10:38 AM",,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,"S",,,,"4.23","4.1","2.5","7.49","7.52","3000","1700",,,"593","460",,,,,"0.54",,"0.33",,"0.13",,,,,,"0.2",,"7","12","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"1.9","1.2",,,,,,"-73.929168","40.803613","Permanent"
"N2",,"1971-08-25T00:00:00.000","12:14 PM",,"23.9","23.9",,,,"14.8","16.1",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.9","2.3",,,,"54000","17000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7","1.3",,,,,,"-73.930268","40.879447","Permanent"
"N5",,"1998-06-08T00:00:00.000","10:04 AM",,"14.63","12.61","53","3.28","52.48","22.05","26.66","2.81","3.18","7.29","7.35","82.18","81.75","68.04","73.98","16.09","20.02",,,,,"3.85","3.01",,,,,"S","22","N","2","7.31","7.13","4.5",,,,,,,"38","14",,,,,"0.241",,"0.238",,,,"0.707",,"1.21",,"0.089",,"8","10","12.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"J7",,"1972-09-14T00:00:00.000","12:05 PM",,"22.8","21.7",,,,"24.4","24",,,,,,,,,,,,,,,,,,,,,"E",,,,"4.8","3.9",,,,"4900","1300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.2","6.7",,,,,,"-73.820833","40.645333","Permanent"
"K1",,"1954-06-08T00:00:00.000","9:25 AM",,"16.7","16.7","35",,,"18.55","21.35",,,,,,,,,,,,,,,,,,,,,"W",,,,"5","5.4",,,,"93","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.039","0.019",,,,,,,,,,"-74.081945","40.651112","Permanent"
"H3",,"1956-08-29T00:00:00.000","12:20 PM",,"23.9","23.9","15",,,"25.2","25.55",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.1","1.2",,,,"460","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2","0.147","0.145",,,,,,,,,,"-73.933833","40.828000","Permanent"
"K2",,"1954-07-13T00:00:00.000","9:15 AM",,"22.8","22.2","21",,,"24.85","25.2",,,,,,,,,,,,,,,,,,,,,"E",,,,"4.4","4.2",,,,"43","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.021","0.002",,,,,,,,,,"-74.153000","40.641167","Permanent"
"N3",,"1984-07-17T00:00:00.000","11:40 AM",,"25.6","23.3",,,,"6.8","14",,,,,,,,,,,,,,,,,,,,,"N",,,,"6.6","4.9",,,,"7000","54000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.954182","40.836396","Permanent"
"N3",,"1984-07-17T00:00:00.000","11:40 AM",,"25.6","23.3",,,,"6.8","14",,,,,,,,,,,,,,,,,,,,,"N",,,,"6.6","4.9",,,,"7000","54000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.954182","40.836396","Permanent"
"N4",,"1987-08-12T00:00:00.000","10:07 AM",,"24.1","24.1","42",,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,"3.2","3.1","4","7.02","6.98","2000","450",,,"600","720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.9","3.3",,,,,,"-74.005833","40.764500","Permanent"
"H4",,"1946-08-14T00:00:00.000","10:05 AM",,"22.2","22.2","20",,,"23.1","23.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"0.9","0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3","3.5","2","2","2",,,,,,,,"-73.929168","40.803613","Permanent"
"x72_1909",,"1909-04-15T00:00:00.000","5:00 AM",,,,,,"20",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120",,,,,,,,,,,,,,,,"-73.375000","40.989444","Permanent"
"N5",,"1998-05-28T00:00:00.000","10:18 AM",,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,"N","5","NW","1","6.22","6.45","2.5","7.48","7.51",,,,,"86","103",,,,,"0.324",,"0.288",,,,"0.88",,"1.71",,"0.117",,"16","54","2.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"E6",,"1965-07-26T00:00:00.000","12:07 PM",,"21.1","20.6","14",,,"29.4","30.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.2","2.2",,,,"1300","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-73.860833","40.785500","Permanent"
"N5",,"1915-04-20T00:00:00.000","9:52 AM",,"10.7","10","49",,,"10.5","23.8",,,,,,,,,,,,,,,,,,,,,,,,,"9.27","9.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"K4",,"1937-06-08T00:00:00.000","11:35 AM",,"21.1","20.6","35",,,"18.9","21",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.56","6.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.211667","40.567000","Permanent"
"E4",,"1940-09-05T00:00:00.000","11:00 AM",,"21.7","22.2","76",,,"22.75","23.1",,,,,,,,,,,,,,,,,,,,,,,,,"1.39","1.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.68","0.64","2","2",,,,,,,,"-73.922000","40.782500","Permanent"
"N6",,"1996-07-30T00:00:00.000","11:17 AM",,"19.25","18.83","47","3.28","36.08","22.91","25.85","3.22","3.56","6.26","6.1","77.88","76.56","70.23","76.15","15.75","18.08","17.31","12.7",,,"3.53","2.73",,,,,"S","9","S","1","7.12","6.86","5","7.66","7.72","500","130",,,"32","7",,,,,"0.225",,"0.279",,"0.078",,"0.718",,,,"0.108",,"26","14","14.3",,,,,,,,,,,,,,,,,,,"1.6","1",,,,,,,,,,,,"-74.051333","40.664667","Permanent"
"N9",,"1966-06-23T00:00:00.000","10:04 AM",,"17.8","17.2","20",,,"30.1","29.75",,,,,,,,,,,,,,,,,,,,,"W",,,,"6.9","6.8",,,,"79","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2",,,,,,,,,,,,"-73.983333","40.568333","Permanent"
"N5",,"1952-07-31T00:00:00.000","12:35 PM",,"26.7","25","49",,,"15.75","24.85",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.8","3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","0.29","0.18","2","2",,,,,,,,"-74.030000","40.704500","Permanent"
"J3",,"1989-08-03T00:00:00.000","2:04 PM",,"23.8","22.7","31",,,"24.2","26.4",,,,,,,,,,,,,,,,,,,,,"S",,,,"5.4","4","5.5",,,"1700","790",,,"190","200",,,,,"0.26",,"0.56",,"0.2",,,,,,"0.24",,,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.882833","40.627000","Permanent"
"K1",,"1911-10-04T00:00:00.000","3:32 PM",,,"18.5",,,"15",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,"4.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.081945","40.651112","Permanent"
"N6",,"1968-08-21T00:00:00.000","8:55 AM",,"22.8","22.2",,,,"26.3","26.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.1","4.2",,,,"130000","540000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8","4.7",,,,,,"-74.051333","40.664667","Permanent"
"E1",,"1914-04-14T00:00:00.000","10:10 AM",,"6","5.5","41",,,"9.1","15.4",,,,,,,,,,,,,,,,,,,,,,,,,"9.75","10.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.006548","40.700000","Permanent"
"X153",,"1915-05-04T00:00:00.000","9:50 AM",,"12.5","12.1",,,,"23.8","25.55",,,,,,,,,,,,,,,,,,,,,,,,,"5.54","5.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.004722","40.701944","Permanent"
"E14",,"1989-07-24T00:00:00.000","5:44 PM",,"22.2","22.2","17",,,"23.7","24",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.5","3.8","8.5","7.37","7.34","1300","3300",,,"40","300",,,,,"0.28",,,,"0.1",,,,,,"0.17",,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.864500","40.800833","Permanent"
"N6",,"1961-07-27T00:00:00.000","9:45 AM",,"22.8","22.2","56",,,"27.3","30.1",,,,,,,,,,,,,,,,,,,,,"N",,,,"5","4.3",,,,"460","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-74.051333","40.664667","Permanent"
"X140",,"1922-08-24T00:00:00.000","11:45 AM",,"22.5","22.5",,,,"24.85","26.6",,,,,,,,,,,,,,,,,,,,,"W",,,,"3.32","3.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.126464","40.643308","Permanent"
"TNB",,"1985-09-17T00:00:00.000","12:00 PM",,"21.5","21.4",,,,"21","21",,,,,,,,,,,,,,,,,,,,,"E",,,,"6","6.2",,,,"200","400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.792160","40.803000","Permanent"
"E4",,"1993-06-22T00:00:00.000","10:05 AM",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,"E",,,,"5.51","5.26","3.5","7.3","7.34","3000","3000",,,"196","184",,,,,"0.3",,"0.49",,"0.093",,,,,,"0.16",,"60","71","4.8",,,,,,,,,,,,,,,,,,,,,,,,,"1.9","0.9",,,,,,"-73.922000","40.782500","Permanent"
"K4",,"1931-07-22T00:00:00.000","11:55 AM",,"26.7","26.1","35",,,"19.6","19.95",,,,,,,,,,,,,,,,,,,,,"N",,,,"0.79","1.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.211667","40.567000","Permanent"
"H4",,"1936-07-10T00:00:00.000","12:15 PM",,"27.8","26.7","20",,,"23.45","24.5",,,,,,,,,,,,,,,,,,,,,"S",,,,"0.21","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.929168","40.803613","Permanent"
