"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Combo: Playground / Court (2602)","B","317","45","B250",,"XX-007","Chain Link Fence - 2""",,,"B-17","67","Nostrand Ave. between Foster Ave. and Farragut Pl.","Nostrand Playground","Spanish","2602","2602-007","Installed","Consolidated Rules Sign",,"31758","French Creole","11210","POINT (-73.94679392516166 40.63750544518761)"
"Playground - Children Only (2601)","B","314","40","B389","6:00 a.m. to 9:00 p.m.","XX-008","Wrought Iron / Steep Picket Fence",,,"B-14","70","Woodruff Ave. and Ocean Ave.","Umma Park","Spanish","2601","2601-008","Installed","Consolidated Rules Sign",,"31596","Russian","11226","POINT (-73.9618402889276 40.65370229231978)"
"Park without Dog Run; No Off-Leash (2401)","Q","403","22","Q393C",,"XX-005","None / Free Standing",,,"Q-03","115","79 St., 80 St. bet. 24 and 25 Ave.","LaGuardia Landing Lights","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","11370","POINT (-73.88913819490165 40.76285967564487)"
"Athletic Field / Court - Hours (1500)","M","103","1","M132",,"XX-005",,,,"M-03","7","Madison St. bet. Clinton St. and Rutgers St.","Little Flower Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"48636","Chinese","10002","POINT (-73.98846263020097 40.712417888279234)"
"Comfort Station  – M (1800)","B","304","34","B016",,"XX-005","Wall",,,"B-04","83","Irving Ave., Kinickerbocker Ave. bet. Starr St. and Suydam St.","Maria Hernandez Park","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,"29257","Chinese","11237","POINT (-73.92411379497042 40.70305827598007)"
"Park without Dog Run; No Off-Leash (2401)","B","302","33","B113B",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-02","84","Cadman Plaza West, Cadman Plaza East bet. Tillary St. and Johnson St.","Korean War Veterans Plaza","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","11201","POINT (-73.99024017461446 40.69532744082297)"
"Existing Routed Sign","B","305","42","B419",,"XX-008","Chain Link Fence - 2""",,,"B-05","75","Belmont Ave. to Sutter Ave. between Schenck Ave. and Barbey St.","Sutter Ballfields","Spanish",,,"Installed","Routed Sign",,"29331","Russian","11207","POINT (-73.8870722254501 40.67067483103627)"
"Athletic Field / Court - Hours (1500)","B","301","33","B022",,"XX-006","Chain Link Fence - 1""",,,"B-01","90","Lynch St., Middleton St. bet. Lee Ave. and Bedford Ave.","Sarah J.S. Tompkins Garnet Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"29825","Yiddish","11206","POINT (-73.95565952222665 40.70073850263134)"
"Tennis Courts Hours (3100)","Q","413","31","Q008",,"XX-007","Chain Link Fence - 1 3/4""",,"Q008-ZN02","Q-13","105","S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.","Brookville Park","Spanish","3100","3100-007","Installed","Consolidated Rules Sign","Brookville Park Zone 2","27084","French Creole","11422","POINT (-73.7447788021117 40.66193526843527)"
"Dog Run Interior (1902)","X","208","11","X201",,"XX-001","Chain Link Fence - 2""",,,"X-08","50","W 232 St , Independence Av , W 235 St ,","Seton Park","Spanish","1902","1902-001","Installed","Consolidated Rules Sign",,,"French","10471","POINT (-73.91539146996746 40.88654142310923)"
"Park without Dog Run; Off-Leash OK (2402)","Q","411","19","Q012",,"XX-016","Wrought Iron / Steep Picket Fence",,"Q012-ZN01","Q-07A","111","214 Pl., 214 La., 215 Pl, Cross Island Pkwy. bet. 33 Ave. and 35 Ave.","Crocheron Park","Chinese","2402","2402-016","Installed","Consolidated Rules Sign","Crocheron Park Zone 1",,"Korean","11361","POINT (-73.76951694876394 40.772185069022996)"
"Playground - Children Only (2601)","Q","405","34","Q002","6:00 a.m. to 9:00 p.m.","XX-005","Pipe Rail",,,"Q-05","104","Stanhope St. bet. Fairvier Ave. and Grandview Ave.","Grover Cleveland Playground","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,"27713","Chinese","11385","POINT (-73.91102504263203 40.71116100002346)"
"Playground - Adults Allowed (2600)","Q","414","31","Q353",,"XX-008","Chain Link Fence - 2""",,,"Q-14","101","Grassmere Terr., Briar Pl. bet. Hanson Ct. and Brookhaven Ave.","Grassmere Playground","Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,,"Russian","11691","POINT (-73.75903639738144 40.599505927237814)"
"Athletic Field / Court - Hours (1500)","Q","413","23","Q328",,"XX-007","Chain Link Fence - 2""",,,"Q-13","105","85 Ave. bet. 248 St. and 249 St.","Bellerose Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"27277","French Creole","11426","POINT (-73.71834821341574 40.73284482073476)"
"Tennis Courts Hours (3100)","Q","412","28","Q413",,"XX-004","Chain Link Fence - 2""",,,"Q-12","113","Guy R. Brewer Blvd. bet. 130 Ave. and 137 Ave.","Rochdale Park","Spanish","3100","3100-004","Installed","Consolidated Rules Sign",,"26629","Bengali","11434","POINT (-73.77404485958965 40.67426236528953)"
"Park without Dog Run; No Off-Leash (2401)","R","501","50","R059",,"XX-005","Wrought Iron / Steep Picket Fence",,,"R-01","120","Tompkins Ave., Bay St. bet. School Rd., North Rd.","Von Briesen Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10305","POINT (-74.06092577504884 40.607210741554596)"
"Athletic Field - Synthetic Turf - Hours (1502)","M","111","8","M107",,"XX-005","Chain Link Fence - 2""",,"M107-ZN06","M-11R","25","East River and Hell Gate","Wards Island Park","Spanish","1502","1502-005","Installed","Consolidated Rules Sign","Wards Meadow","48316","Chinese","10035","POINT (-73.92941325496695 40.78211890903329)"
"Athletic Field / Court - No Hours (1501)","B","302","35","B021",,"XX-005","Chain Link Fence - 2""",,,"B-02","88","Nassau St., Park Ave., bet. Navy St. and N. Elliot Pl.","Commodore Barry Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign",,"29864","Chinese","11201","POINT (-73.97909396665769 40.69747800928689)"
"Combo: Playground / Court (2602)","Q","407","19","Q445","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"Q-07","109","14 Rd. bet. 132 St. and 138 St.","Frank Golden Park","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,,"Chinese","11356","POINT (-73.8327582102688 40.7848601028269)"
"Triangle No Rules - Routed (800)","Q","408","23",,,"XX-005","None / Free Standing",,,,"107",,,"Spanish","800","800-005","Surveyed","Routed Sign",,,"Chinese","11365","POINT (-73.77884390232099 40.73670494773212)"
"Athletic Field / Court - No Hours (1501)","X","204","16","X030",,"XX-001","Chain Link Fence - 2""",,"X030-ZN02","X-04","44","River Ave. to the Harlem River bet. E. 157 St. , W. 161 St. and E. 164 St.","Macombs Dam Park","Spanish","1501","1501-001","Installed","Consolidated Rules Sign","Macombs Dam Park Zone 2 Lower",,"French","10451","POINT (-73.9288292402892 40.827078571597404)"
"Dog Run (1900)","M","103","1","M019",,"XX-005","Chain Link Fence - 2""",,,"M-03","5","Cherry St, Pike St, Monroe St","Coleman Playground","Spanish","1900","1900-005","Installed","Consolidated Rules Sign",,,"Chinese","10002","POINT (-73.99347310358249 40.71112801943116)"
"Playground - Children Only (2601)","M","103","1","M015","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Wrought Iron / Steep Picket Fence",,,"M-01","5","Baxter St, Mulberry St, Bayard St and Park","Columbus Park","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,,"Chinese","10013","POINT (-74.00003819702685 40.71476700361716)"
"Beach","B","313","47","B169",,"XX-015","Pipe Rail",,"B169-ZN04A","B-13","60","Corbin Pl. to W. 37 St., Boardwalk","Coney Island Beach & Boardwalk","Chinese",,,"Installed","Consolidated Rules Sign","Coney Island Beach Zone 4a","31929","Russian","11224","POINT (-73.97105084015375 40.57398399734871)"
"Park without Dog Run; Off-Leash OK (2402)","B","302","35","B026",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-02","88","Carlton Ave., Fulton St., Green Ave.","Cuyler Gore Park","Spanish","2402","2402-005","Installed","Consolidated Rules Sign",,"29974","Chinese","11238","POINT (-73.9726784757686 40.68577902532171)"
"Tennis Courts Hours (3100)","X","207","14","X044",,"XX-004","Chain Link Fence - 2""",,,"X-07","52","Jerome Ave., E. 193 St., Creston Ave., E","St. James Park","Spanish","3100","3100-004","Installed","Consolidated Rules Sign",,"32536","Bengali","10468","POINT (-73.89709689379389 40.86534144327637)"
"Athletic Field - Synthetic Turf","R","501","49","R105",,"XX-005","Chain Link Fence - 2""",,,"R-01","120","Elizabeth St., Forest Ave., Broadway, Clove Lake Pl.","Prall Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"32165","Chinese","10310","POINT (-74.11790240118265 40.628716593748734)"
"Park with Dog Run; No Off Leash (2403)","B","301","33","B058",,"XX-006","Wrought Iron / Steep Picket Fence",,"B058-ZN01","B-01","94","Nassau Ave, Bayard, Leonard & N 12 Sts","McCarren Park","Spanish","2403","2403-006","Installed","Consolidated Rules Sign","McCarren Park Zone 1",,"Yiddish","11222","POINT (-73.95014452677384 40.71953603285273)"
"Playground - Adults Allowed (2600)","Q","481","24","Q099","6:00 a.m. to 9:00 p.m.",,"None / Free Standing",,"Q099-ZN21","Q-15","110","Grand Central Pkwy, Van Wyck Exwy","Flushing Meadows Corona Park",,"2600","2600","Installed","Consolidated Rules Sign","Meadow Lake NW","28778",,"11367","POINT (-73.8433265333412 40.73527018996076)"
"Park without Dog Run; No Off-Leash (2401)","M","104","3","M399",,"XX-005","Chain Link Fence - 2""",,,"M-04","10","Hudson Blvd. bet. W. 37 St. and W. 33 St.","Bella Abzug Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10018","POINT (-74.00003635474904 40.756211678693056)"
"GT Garden (2000)","X","203","17","X350",,"XX-001","Chain Link Fence - 2""",,,"X-03","42","Melrose Ave. bet. E. 162 St. and E. 163 St.","Melrose Commons Park","Spanish","2000","2000-001","Installed","Consolidated Rules Sign",,,"French","10451","POINT (-73.91278313602346 40.82526382490038)"
"Playground - Children Only (2601)","B","303","36","B088","6:00 a.m. to 9:00 p.m.","XX-006","Pipe Rail",,,"B-03","79","Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.","Herbert Von King Park","Spanish","2601","2601-006","Installed","Consolidated Rules Sign",,"31479","Yiddish","11216","POINT (-73.94622989611497 40.69017630682846)"
"Park with Dog Run; No Off Leash (2403)","B","301","34","B025",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","90","Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.","Cooper Park","Spanish","2403","2403-006","Installed","Consolidated Rules Sign",,"29727","Yiddish","11211","POINT (-73.93697301772075 40.715327080547176)"
"Park without Dog Run; No Off-Leash (2401)","Q","403","21","Q186",,"XX-005","None / Free Standing",,,"Q-03","115","94 St., Jackson Mill Rd. bet. 23 Ave. and 24 Ave.","Jackson Mill Green","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","11369","POINT (-73.87572013925698 40.766250185449024)"
"Combo: Playground / Court (2602)","Q","406","29","Q425","6:00 a.m. to 9:00 p.m.","XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","Yellowstone Blvd. bet. 68 Ave. and 68 Rd.","Yellowstone Park","Chinese","2602","2602-015","Installed","Consolidated Rules Sign",,"28076","Russian","11375","POINT (-73.84812629549997 40.72639756621548)"
"Comfort Station – M + Accessible (1803)","X","203","16","X021",,"XX-001","Wall",,,"X-03","42","Fulton Av bet. E 169 St and E 170 St","Drew Playground","Spanish","1803","1803-001","Installed","Consolidated Rules Sign",,,"French","10456","POINT (-73.9033335604252 40.83301053314209)"
"Athletic Field / Court - Hours (1500)","Q","405","30","Q102",,"XX-005","Chain Link Fence - 2""",,"Q102-ZN03","Q-05","104","Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.","Juniper Valley Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Juniper Valley Park Zone 3","27610","Chinese","11379","POINT (-73.87636523430668 40.72095944958501)"
"Triangles, Squares and Sitting Areas Rules","Q","412","28","Q220D",,"XX-004","None / Free Standing",,,"Q-12","113","Van Wyck Exwy. Sr. Rd. E., 139 St., Fooch Blvd.","Foch Sitting Area","Spanish",,,"Surveyed","Routed Sign",,,"Bengali","11436","POINT (-73.80221525205258 40.67719599015805)"
"Park without Dog Run; No Off-Leash (2401)","M","164","6","M010",,,"None / Free Standing",,"M010-ZN30","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,"2401","2401","Surveyed","Consolidated Rules Sign","Central Park West","48796",,"83","POINT (-73.96903666298822 40.78539820744661)"
"Athletic Field / Court - No Hours (1501)","M","112","10","M099",,"XX-005","Chain Link Fence - 1""",,,"M-12","33","W. 173 St. bet. Haven Ave. and Ft. Washington Ave.","J. Hood Wright Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign",,"47656","Chinese","10033","POINT (-73.94084303662731 40.8470435638344)"
"Playground - Children Only (2601)","X","207","11","X104","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-004","Wrought Iron / Steep Picket Fence","Williamsbridge Oval Playground North","X104-03","X-07","52","Van Cortlandt Ave. East, Resevoir Oval E","Williamsbridge Oval","Spanish","2601","2601-004","Installed","Consolidated Rules Sign","Williamsbridge Oval","32634","Bengali","10467","POINT (-73.87699434943369 40.87861955664526)"
"Athletic Field / Court - Hours (1500)","M","111","8","M104",,"XX-005","None / Free Standing",,"M104-ZN02","M-11R","25","East River and Harlem River","Randall's Island Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Sunken Meadow","48217","Chinese","10035","POINT (-73.91863244888216 40.79552530895226)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R015",,"XX-005","Chain Link Fence - 2""",,,"R-01","120","Delafield Pl., Bard Ave., and Davis Ave.","Walker Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"32401","Chinese","10310","POINT (-74.10916158219023 40.64392450549582)"
"Comfort Station – W (1801)","B","315","46","B235",,"XX-015","Wall",,,"B-15","61","Ave. V between Nostrand Ave. and Batchelder St.","Herman Dolgon Playground","Chinese","1801","1801-015","Installed","Consolidated Rules Sign",,"31357","Russian","11229","POINT (-73.93952896721797 40.59814762683324)"
"Athletic Field / Court - Hours (1500)","Q","405","30","Q398",,"XX-005","Chain Link Fence - 2""",,,"Q-05","104","Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.","Rosemary's Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"27644","Chinese","11385","POINT (-73.90428675080449 40.70466797205344)"
"Athletic Field / Court - Hours (1500)","X","202","17","X255",,"XX-001","Chain Link Fence - 2""",,,"X-02","41","Beck St bet. Interval Av and Longwood Av","Bill Rainey Park","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"32861","French","10459","POINT (-73.89863737947321 40.81860606912997)"
"Comfort Station – W + Accessible (1804)","M","112","7","M028",,"XX-005","Wall",,"M028-02","M-12","33","Riverside Dr., Hudson River, W. 155 St. to Dyckman St.","Fort Washington Park","Spanish","1804","1804-005","Installed","Consolidated Rules Sign","Lily Brown Playground","47918","Chinese","10032","POINT (-73.94602029663798 40.83886265684822)"
"Playground - Children Only (2601)","X","205","14","X295","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence",,,"X-05","46","Nelson Av bet. Featherbed La and W 174 St","Half-Nelson Playground","Spanish","2601","2601-001","Installed","Consolidated Rules Sign",,,"French","10453","POINT (-73.91921106546073 40.84669967791933)"
"Dog Run (1900)","Q","408","23","Q021",,"XX-005","Chain Link Fence - 2""",,"Q021-ZN01","Q-08","107","Horace Harding Expwy, Grand Central Pkwy","Cunningham Park","Spanish","1900","1900-005","Installed","Consolidated Rules Sign","Cunningham Park Zone 1","49202","Chinese","11423","POINT (-73.77527804022488 40.726062137002955)"
"Tennis Courts Hours (3100)","B","318","46","B057",,"XX-007","Chain Link Fence - 2""",,"B057-ZN01","B-18","63","Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay","Marine Park","Spanish","3100","3100-007","Installed","Consolidated Rules Sign","Marine Park Zone 1","31082","French Creole","11229","POINT (-73.93563542039763 40.608367576320795)"
"Playground - Children Only (2601)","Q","413","23","Q310","6:00 a.m. to 9:00 p.m.","XX-007","Wrought Iron / Steep Picket Fence",,,"Q-13","105","74 Ave., 260 St.","Glen Oaks Oval","Spanish","2601","2601-007","Installed","Consolidated Rules Sign",,"27150","French Creole","11004","POINT (-73.7162039080677 40.74965742183714)"
"Park without Dog Run; Off-Leash OK (2402)","Q","414","31","Q371",,"XX-008","None / Free Standing",,,"Q-14","101","Conch, Sommerville & Norton Basins, Almeda Ave","Rockaway Community Park","Spanish","2402","2402-008","Installed","Consolidated Rules Sign",,"27942","Russian","11691","POINT (-73.78482032922258 40.597882225120564)"
"Athletic Field / Court - Hours (1500)","R","503","50","R072",,"XX-017","Chain Link Fence - 2""",,,"R-03","122","Adelaide Ave., Clawson St.","Clawson Playground","Russian","1500","1500-017","Installed","Consolidated Rules Sign",,,"Italian","10306","POINT (-74.1240601280516 40.56126957877875)"
"Skate Park","R","595","50","R046",,,"Chain Link Fence - 2""",,"R046-07","R-02B","122","Ft. Wadsworth To Miller Field, Fr Capodanno Blvd.","Franklin D. Roosevelt Boardwalk and Beach",,,,"Installed","Consolidated Rules Sign","Midland Beach Playground","32130",,"10305","POINT (-74.08423422961509 40.574731025667006)"
