"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"B073-DF0851","E High Low","Out in Open, Near Ballfield","Yes","B073","Prospect Park","B073-ZN15","B","2","B-19","E High Low, Out in Open, Near Ballfield","Active","POINT (-73.97367596464233 40.661114233306435)"
"Q099-DF0220","A","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN12","Q","1","Q-15","A, Out in Open","Active","POINT (-73.84584063031606 40.745481422941396)"
"Q126-DF0675","A","Under Tree","No","Q126","Francis Lewis Park","Q126","Q","1","Q-07","A, Under Tree","Active","POINT (-73.82520201402417 40.79589653081398)"
"B375-DF0629","C","Out in Open, In Playground","No","B375","Chiarantano Playground","B375","B","1","B-17","C, Out in Open, In Playground","Active","POINT (-73.93351145663559 40.6368153499445)"
"Q467-DF0186","C","Near Ballfield","No","Q467","Broad Channel American Park","Q467","Q","1","Q-14","C, Near Ballfield","Active","POINT (-73.82282949466799 40.59601166596354)"
"M019-DF0432","A","Near Ballfield","Yes","M019","Coleman Playground","M019","M","1","M-03","A, Near Ballfield","Active","POINT (-73.99409378515034 40.71127353708477)"
"Q205A-DF0122","A","Near Ballfield","No","Q205A","Big Bush Playground","Q205A","Q","1","Q-02","A, Near Ballfield","Active","POINT (-73.90238937963339 40.739216502180795)"
"Q339-DF0786","A","Near Ballfield","No","Q339","Cambria Playground","Q339","Q","1","Q-13","A, Near Ballfield","Active","POINT (-73.74317444916903 40.689480827411586)"
"X010A-DF0212","C","In Playground, Under Tree","No","X010A","Tremont Park","X010A-02","X","1","X-06","C, In Playground, Under Tree","Active","POINT (-73.89471522834255 40.84433373386693)"
"Q377-DF0393","A","In Playground","No","Q377","Playground Sixty Two LXII","Q377","Q","1","Q-06","A, In Playground","Active","POINT (-73.8527634409574 40.73598175391945)"
"Q099-DF0261","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN15","Q","1","Q-15","A, Under Tree","Active","POINT (-73.83927505531747 40.74772589436168)"
"X010-DF0319","E","Out in Open, In Playground","Yes","X010","Crotona Park","X010-10","X","1","X-03","E, Out in Open, In Playground","Active","POINT (-73.90012295729882 40.83581680273347)"
"M285-DF0506","E High Low","In Playground","Yes","M285","Dr. Ronald E. McNair Playground","M285","M","2","M-11","E High Low, In Playground","Active","POINT (-73.93799149011622 40.80252381503841)"
"X232-DF0254","C","Under Tree","No","X232","Burns Playground","X232","X","1","X-11","C, Under Tree","Active","POINT (-73.83666187359309 40.862809666990245)"
"M111-DF0507","Bottle Filler","Near Ballfield, Just Outside Playground","Yes","M111","James Weldon Johnson Playground","M111","M","1","M-11","Bottle Filler, Near Ballfield, Just Outside Playground","Active","POINT (-73.94160240562599 40.79701195383362)"
"Q394-DF0206","Bottle Filler High Low","Near Ballfield","No","Q394","Conch Playground","Q394","Q","3","Q-14","Bottle Filler High Low, Near Ballfield","Active","POINT (-73.78116617422221 40.59608097848428)"
"Q021-DF0354","A","Near Ballfield","No","Q021","Cunningham Park","Q021-ZN05","Q","1","Q-08","A, Near Ballfield","Active","POINT (-73.76446412373505 40.73967978692028)"
"Q298-DF0051","E High Low","In Playground","No","Q298","Paul Raimonda Playground","Q298","Q","2","Q-01","E High Low, In Playground","Active","POINT (-73.89745984282882 40.77255741818322)"
"X191A-DF0035","A","Under Tree, Out in Open","No","X191A","Bicentennial Veterans Memorial Park","X191A","X","1","X-10","A, Under Tree, Out in Open","Active","POINT (-73.81413047599146 40.823263474813736)"
"X186-DF0477","A",,,"X186","Riverdale Playground","X186","X","1","X-08","A,","Active","POINT (-73.91480586729676 40.88770799351966)"
"M108P-DF0065","E","Under Tree","Yes","M108P","Sutton Parks","M108P","M","1","M-06","E, Under Tree","Active","POINT (-73.96242699019052 40.75499171211731)"
"X047-DF0402","A","Out in Open","No","X047","Franz Sigel Park","X047-ZN01","X","1","X-04","A, Out in Open","Active","POINT (-73.92665352030386 40.821961249020546)"
"X118-DF0416","Trough High Low","Just Outside Playground","No","X118","Soundview Park","X118-02","X","2","X-09","Trough High Low, Just Outside Playground","Active","POINT (-73.87043101811011 40.81800242856259)"
"B251-DF0610","Bottle Filler High Low","In Playground","Yes","B251","Manhattan Beach Park","B251-04","B","3","B-15","Bottle Filler High Low, In Playground","Active","POINT (-73.94655315897086 40.576392517417325)"
"Q386-DF0493","D","Near Ballfield","No","Q386","Centreville Playground","Q386","Q","1","Q-10","D, Near Ballfield","Active","POINT (-73.83928027899518 40.670493715343824)"
"X004-DF0076","CS Metal","In Playground",,"X004","Bronx River Parkway","X002-14","X","1","X-09","CS Metal, In Playground","Active","POINT (-73.87117720377651 40.87292830837411)"
"X166-DF0282","C","Out in Open, Near Ballfield","No","X166","Behagen Playground","X166","X","1","X-03","C, Out in Open, Near Ballfield","Active","POINT (-73.90124431066046 40.82602051848924)"
"X039-DF0108","C","Out in Open","No","X039","Pelham Bay Park","X039-06K","X","1","X-15","C, Out in Open","Active","POINT (-73.79347809753679 40.86804775814947)"
"Q099-DF0794","A","Under Tree","No","Q099","Flushing Meadows Corona Park","Q099-ZN25","Q","1","Q-15","A, Under Tree","Active","POINT (-73.83788860467307 40.73267173398934)"
"M079-DF0267","E High Low","Under Tree","No","M079","St. Catherine's Park","M079","M","2","M-08","E High Low, Under Tree","Active","POINT (-73.95854399610174 40.76521026435772)"
"X273-DF0313","C","Out in Open, Just Outside Playground","No","X273","Rock Garden Park","X273","X","1","X-03","C, Out in Open, Just Outside Playground","Active","POINT (-73.8849367503344 40.8355935427676)"
"M099-DF0231","E",,"Yes","M099","J. Hood Wright Park","M099","M","1","M-12","E,","Active","POINT (-73.94213522344255 40.846650582404784)"
"B105-DF0440","C","In Playground","No","B105","Taaffe Playground","B105","B","1","B-03","C, In Playground","Active","POINT (-73.96074144642643 40.69591290512412)"
"X039-DF0102","Double A","Out in Open","Yes","X039","Pelham Bay Park","X039-ZN16","X","2","X-15","Double A, Out in Open","Active","POINT (-73.78629157888777 40.87033878363692)"
"M071-DF0075","CS Concrete","In Playground","No","M071","Riverside Park","M071-31","M","1","M-14","CS Concrete, In Playground","Active","POINT (-73.96229734959523 40.81489100188376)"
"Q015-DF0011","A","Out in Open","Yes","Q015","Forest Park","Q015-ZN04","Q","1","Q-16","A, Out in Open","Active","POINT (-73.85277454393119 40.70076862940618)"
"Q099-DF0287","C","Out in Open","No","Q099","Flushing Meadows Corona Park","Q099-ZN10","Q","1","Q-15","C, Out in Open","Active","POINT (-73.84241709478401 40.751034320470005)"
"X087-DF0122","C","Under Tree","Yes","X087","Zimmerman Playground","X087","X","1","X-11","C, Under Tree","Active","POINT (-73.86870571139609 40.866134794150256)"
"B431-DF0950","Bottle Filler Fountain","Out in Open",,"B431","Brooklyn Bridge Park","B431-ZN06","B","2","B-02","Bottle Filler Fountain, Out in Open","Active","POINT (-74.00168652977908 40.69231855146896)"
"B380-DF0197","C","Just Outside Playground","Yes","B380","Robert E. Venable Park","B380","B","1","B-05","C, Just Outside Playground","Active","POINT (-73.8657494332076 40.67461412477116)"
"Q308-DF0872","CS Metal","Just_Outside_Playground",,"Q308","Bowne Playground","Q308","Q","2","Q-07","CS Metal, Just_Outside_Playground","Active","POINT (-73.82475212967147 40.758026042617026)"
"M043-DF0187","A","Near Ballfield,Near_Ballfield","Yes","M043","Isham Park","M042-ZN01","M","1","M-12","A, Near Ballfield,Near_Ballfield","Active","POINT (-73.92018417032382 40.87211387971474)"
"Q313-DF0818","A","Under Tree, In Playground",,"Q313","Arverne Playground","Q313","Q","1","Q-14","A, Under Tree, In Playground","Active","POINT (-73.78526279299034 40.59298881520792)"
"Q099-DF0226","D","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN06","Q","1","Q-15","D, Out in Open","Active","POINT (-73.84518541207781 40.744147712948696)"
"M263-DF0032","E and Dog","In Playground","Yes","M263","Bellevue South Park","M263","M","2","M-06","E and Dog, In Playground","Active","POINT (-73.9780546761505 40.74025275751712)"
"X092-DF0544","Indoor Drinking Fountain","Indoor",,"X092","Van Cortlandt Park","X092","X","1","X-13","Indoor Drinking Fountain, Indoor","Active","POINT (-73.89651450189263 40.890476964431755)"
"B347-DF0128","C","Near Ballfield, In Playground","No","B347","Carver Playground","B347","B","1","B-03","C, Near Ballfield, In Playground","Active","POINT (-73.92037798365226 40.68005379816165)"
"R067-DF0094","A","In Playground","Yes","R067","Gen. Douglas MacArthur Park","R067","R","1","R-02","A, In Playground","Active","POINT (-74.10095053575475 40.58568892656683)"
"M042-DF0131","A","Out in Open","No","M042","Inwood Hill Park","M042-ZN04","M","1","M-12","A, Out in Open","Active","POINT (-73.92952529477165 40.874279839414434)"
"B060-DF0755","A","Out in Open","No","B060","McKinley Park","B060","B","1","B-10","A, Out in Open","Active","POINT (-74.01715711986482 40.62755186432435)"
"B085-DF1067","Indoor Drinking Fountain","Indoor",,"B085","Metropolitan Recreation Center","B085","B","1","B-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9603169539417 40.71501243277917)"
"Q007-DF0240","A","Out in Open","Yes","Q007","Bayswater Park","Q007-01","Q","1","Q-14","A, Out in Open","Active","POINT (-73.76716652527739 40.59928904339863)"
"Q127-DF0300","C","Near Ballfield","No","Q127","Marconi Park","Q127","Q","1","Q-12","C, Near Ballfield","Active","POINT (-73.79540198766784 40.6930865240528)"
"B057-DF1026","Bottle Filler Fountain","Indoor",,"B057","Marine Park","B057-ZN06","B","2","B-18","Bottle Filler Fountain, Indoor","Active","POINT (-73.93065246159898 40.60403182041112)"
"M098-DF0105","E and Dog","Under Tree","Yes","M098","Washington Square Park","M098-ZN02","M","2","M-02","E and Dog, Under Tree","Active","POINT (-73.99751797569215 40.73015890846366)"
"Q015-DF0002","E","In Playground","Yes","Q015","Forest Park","Q015-02","Q","1","Q-16","E, In Playground","Active","POINT (-73.83576564528597 40.70963568821254)"
"R030-DF0019","A","Near Ballfield",,"R030","Willowbrook Park","R065-ZN08","R","1","R-02","A, Near Ballfield","Active","POINT (-74.15486448963243 40.60560056626247)"
"M010-DF0602","E","Under Tree, In Shade, Near Ballfield","Yes","M010","Central Park","M010-ZN28","M","1","M-13","E, Under Tree, In Shade, Near Ballfield","Active","POINT (-73.96802288598582 40.78126997403916)"
"B010-DF0986","E",,,"B010","Brooklyn Botanic Garden","B010","B","1","B-19","E,","Active","POINT (-73.96189777751778 40.664806287151045)"
"M089-DF0981","Indoor Drinking Fountain","Indoor",,"M089","Union Square Park","M089","M","1","M-05","Indoor Drinking Fountain, Indoor","Active","POINT (-73.98991829107044 40.73643890926316)"
"B359-DF0115","Bottle Filler High Low","In Playground","No","B359","Eleanor Roosevelt Playground","B359","B","3","B-03","Bottle Filler High Low, In Playground","Active","POINT (-73.93582212473594 40.692710015337326)"
"B058-DF0213","D","Near Ballfield","No","B058","McCarren Park","B058-ZN03","B","1","B-01","D, Near Ballfield","Active","POINT (-73.95325445489037 40.72145194873961)"
"B260-DF0173","A","Under Tree, In Playground","Yes","B260","Howard Playground","B260","B","1","B-16","A, Under Tree, In Playground","Active","POINT (-73.90783995910634 40.67170976732612)"
"X039-DF0605","G",,"Yes","X039","Pelham Bay Park","X039-ZN19","X","1","X-15","G,","Active","POINT (-73.794671916583 40.86479176253761)"
"B110-DF0162","B","Under Tree, In Shade","Yes","B110","Marion Hopkinson Playground","B110","B","1","B-16","B, Under Tree, In Shade","Active","POINT (-73.91385599509749 40.68174065216383)"
"Q375-DF0533","D","Under Tree, In Playground","No","Q375","Willets Point Playground","Q375","Q","1","Q-07","D, Under Tree, In Playground","Active","POINT (-73.79665152372691 40.78377355274987)"
"Q015-DF0017","E","In Playground","No","Q015","Forest Park","Q015-08","Q","1","Q-16","E, In Playground","Active","POINT (-73.86787035259655 40.70259396762668)"
"X163-DF0249","A","In Playground","No","X163","Loreto Playground","X163","X","1","X-11","A, In Playground","Active","POINT (-73.85206099221641 40.8489794117349)"
"R046-DF0038","A","Out in Open","Yes","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN05","R","1","R-02","A, Out in Open","Active","POINT (-74.08949809922173 40.56931621845291)"
"M033-DF0377","B","In Playground","No","M033","Hamilton Fish Park","M033","M","1","M-03","B, In Playground","Active","POINT (-73.981157288543 40.72024247128618)"
"B223R-DF0797","E","In Playground","Yes","B223R","Jaime Campiz Playground","B223R","B","2","B-01","E, In Playground","Active","POINT (-73.95437159930931 40.71377825676779)"
"M186-DF0540","A","Under Tree, Near Ballfield, In Playground","Yes","M186","Col. Young Playground","M186","M","1","M-10","A, Under Tree, Near Ballfield, In Playground","Active","POINT (-73.93637211700397 40.81945106048178)"
"B073-DF0288","CS Concrete","Just Outside Playground","No","B073","Prospect Park","B073-ZN10","B","1","B-19","CS Concrete, Just Outside Playground","Active","POINT (-73.96355457149188 40.66049795350503)"
"B282-DF0758","F High Low","In Playground","No","B282","Patrick O'Rourke Playground","B282","B","2","B-10","F High Low, In Playground","Active","POINT (-74.0143573544725 40.619144012161904)"
"M010-DF0620","E","Under Tree, Out in Open","Yes","M010","Central Park","M010-ZN30","M","1","M-13","E, Under Tree, Out in Open","Active","POINT (-73.96437172972871 40.79104069712919)"
"B017-DF0043","A","Out in Open, Near Ballfield","Yes","B017","Bushwick Playground","B017","B","1","B-04","A, Out in Open, Near Ballfield","Active","POINT (-73.912981820996 40.69590065857901)"
"B219-DF0167","A","Under Tree, Out in Open, In Shade","Yes","B219","Callahan-Kelly Playground","B219","B","1","B-16","A, Under Tree, Out in Open, In Shade","Active","POINT (-73.90572705276071 40.67842823980348)"
"M107-DF0149","Pedestal","Near Ballfield",,"M107","Wards Island Park","M107-ZN06","M","1","M-11R","Pedestal, Near Ballfield","Active","POINT (-73.93156084097444 40.78626570338355)"
"B315-DF0327","C","Out in Open, In Playground","Yes","B315","Surf Playground","B315","B","1","B-13","C, Out in Open, In Playground","Active","POINT (-73.99265667410363 40.57363757038454)"
"B326-DF0900","B","In Shade, In Playground",,"B326","Cobble Hill Park","B326","B","1","B-06","B, In Shade, In Playground","Active","POINT (-73.99645526229924 40.68831818739888)"
"X126-DF0030","C","Out in Open","No","X126","Ferry Point Park","X126-ZN02","X","1","X-10","C, Out in Open","Active","POINT (-73.8391603870302 40.81168010109429)"
"M010-DF1059","Indoor Drinking Fountain","Indoor",,"M010","Central Park","M010-ZN27","M","1","M-13","Indoor Drinking Fountain, Indoor","Active","POINT (-73.96584352708415 40.78379340449473)"
"M010-DF0625","E","Out in Open","Yes","M010","Central Park","M010-ZN30","M","1","M-13","E, Out in Open","Active","POINT (-73.96583595947189 40.78940347112112)"
"M010-DF0663","E High Low","Under Tree, In Playground","Yes","M010","Central Park","M010-059","M","2","M-13","E High Low, Under Tree, In Playground","Active","POINT (-73.96771371285341 40.77208664005277)"
"B017-DF0047","C","Under Tree, In Shade, Out in Open, In Playground","No","B017","Bushwick Playground","B017","B","1","B-04","C, Under Tree, In Shade, Out in Open, In Playground","Active","POINT (-73.9117088407966 40.695839442032444)"
"Q099-DF0244","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN15","Q","1","Q-15","A, Under Tree","Active","POINT (-73.83993757112225 40.74457092464133)"
"M213-DF0517","A","Under Tree, Near Ballfield, In Playground","No","M213","Mae Grant Playground","M213","M","1","M-11","A, Under Tree, Near Ballfield, In Playground","Active","POINT (-73.9493962169451 40.79242485897418)"
"R089-DF0002","A","Out in Open","Yes","R089","Greencroft Playground","R089","R","1","R-03","A, Out in Open","Active","POINT (-74.13614225043787 40.55202806062855)"
"B418-DF0275","C","Out in Open","Yes","B418","Valentino Pier","B418","B","1","B-06","C, Out in Open","Active","POINT (-74.01769289412715 40.678434488299985)"
"Q013-DF0730","E","Under Tree, Just Outside Playground","No","Q013","Veterans Grove","Q013","Q","1","Q-04","E, Under Tree, Just Outside Playground","Active","POINT (-73.87769352804685 40.74254902622694)"
"M104-DF0165","Pedestal","Near Ballfield","No","M104","Randall's Island Park","M104","M","1","M-11R","Pedestal, Near Ballfield","Active","POINT (-73.91443747619401 40.79548622390553)"
"X002-DF0353","C","Out in Open, In Playground","No","X002","Bronx Park","X002-07","X","1","X-06","C, Out in Open, In Playground","Active","POINT (-73.87780644602857 40.84272454637148)"
