"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.94454272146685 40.673997765829014)","3","Brooklyn","308","36","43","20","9","Brooklyn Avenue","Prospect Place",,,,"X",,,"Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90990772376401 40.821231736145)","2","Bronx","201","17","79","32","15","St Anns Avenue","East 159 Street",,,,"X",,,"Melrose","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.84681874226757 40.85757772689245)","2","Bronx","211","13","80","34","14","Pelham Parkway EB","Seymour Avenue",,,,,"X",,"Morris Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96338270795573 40.80361874057962)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue","West 111 Street",,,,"X",,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87898973057361 40.879572723042415)","2","Bronx","207","11","81","33","15","Bainbridge Ave","East 210 Street",,,,,"X",,"Norwood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98836470456561 40.71643675907557)","1","Manhattan","103","1","65","27","10","Grand Street","Norfolk Street",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8937637338806 40.74260075071397)","4","Queens","402","26","30","12","6","Woodside Avenue","71 Street",,,,"X",,,"Woodside","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90310972417812 40.85964472810297)","2","Bronx","205","14","86","33","13","Jerome Avenue","North Street",,,,"X",,,"Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.02784569786937 40.62149277897006)","3","Brooklyn","310","43","46","26","11","87 Street","betw. 4 & 5 Avenues",,,"X",,,"2019-03-15T00:00:00.000","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92976871738402 40.82659673515139)","2","Bronx","204","8","84","29","15","East 157 St & East 153 St.","Ruppert Plaza Garage","X",,,,,,"Yankee Stadium-Macombs Dam Park","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97510170724082 40.75273375093423)","1","Manhattan","106","4","73","28","12","Lexington Avenue","East 44 Street",,,,"X",,,"East Midtown-Turtle Bay","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97426770874638 40.72610175705669)","1","Manhattan","103","2","74","27","10","Avenue D","E 12 Street",,,,"X",,,"East Village","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.85135174862953 40.72256675292962)","4","Queens","406","29","28","15","6","Yellowstone Blvd","Austin Street","X",,,,,"1997-04-09T00:00:00.000","Forest Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87238974187659 40.717821754950776)","4","Queens","405","30","28","15","6","80 St & Dry Harbor Rd","Furmanville Avenue","X",,,,,,"St. John Cemetery","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92173871947615 40.82859073443783)","2","Bronx","204","8","77","32","15","Grand Concourse","East 163 Street",,,,"X",,,"Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98908970169103 40.773489747572995)","1","Manhattan","107","6","67","47","12","West End Avenue","W 67 Street",,,"X",,,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98862870294408 40.74280975402639)","1","Manhattan","105","2","74","28","12","5 Avenue","East 25 Street",,,,,"X",,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94028471188805 40.85131473108569)","1","Manhattan","112","10","71","31","13","W 181 Street","Cabrini Blvd",,,,,"X",,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97720570715818 40.74284475357439)","1","Manhattan","106","2","74","59","12","2 Avenue","E 31 Street",,,,,"X",,"Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9419507114215 40.851702730706435)","1","Manhattan","112","10","71","31","13","Riverside Drive","200 North of West 181 Street",,,"X",,,,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95861770952646 40.799968741489984)","1","Manhattan","164","6","68","30","12","Central Park W","W 109 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90777372263535 40.85959872819993)","2","Bronx","205","14","86","33","13","University Avenue","West 183 Street","X",,,,,"2022-03-19T00:00:00.000","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94139172610792 40.61762377735103)","3","Brooklyn","318","45","41","21","9","Avenue N","betw. E34-35 Streets",,,,,"X",,"Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95835370940787 40.80032874165255)","1","Manhattan","164","6","68","30","12","Frederick Douglass Blvd","Frederick Douglass Circle","X",,,,,"2006-08-19T00:00:00.000","Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97722070810468 40.71930075762108)","1","Manhattan","103","2","74","27","10","East Houston St","Baruch Drive",,,,"X",,,"Lower East Side","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.95440171163916 40.789778743307856)","1","Manhattan","164","6","68","30","12","5 Avenue","East 99 Street",,,"X",,,,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00947069814399 40.71040376126634)","1","Manhattan","101","1","61","27","10","Broadway","Dey St & John St",,,,"X",,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.87302674156102 40.71325175614721)","4","Queens","405","30","28","15","7","Metropolitan Avenue","79 Place",,,,"X",,,"Middle Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00259170204417 40.68196376619294)","3","Brooklyn","306","39","52","26","10","Hicks Street","Summit Street",,,,"X",,,"Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96610570746903 40.79476374310662)","1","Manhattan","107","7","69","47","12","Columbus Ave","W 99 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98010970428528 40.77052074765357)","1","Manhattan","164","6","75","28","12","Central Park W","W 63 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87054274458612 40.67765676318484)","3","Brooklyn","305","37","54","19","7","N Conduit Blvd","Crescent Street",,,,"X",,,"East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.00803569672478 40.74927275304331)","1","Manhattan","104","3","75","47","12","12 Avenue","West 23 Street",,,"X",,,,"Chelsea-Hudson Yards","AE",,"1"
"POINT (-73.94612871446928 40.78130774450863)","1","Manhattan","108","5","68","29","12","1 Avenue","East 93 Street",,,,"X",,,"Upper East Side-Yorkville","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.94794771260769 40.81457173827649)","1","Manhattan","110","9","70","30","13","8 Avenue","W 132 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88257272887562 40.881572723245455)","2","Bronx","207","11","80","33","15","Jerome Avenue","366' No of E 208 St",,,"X",,,"2019-02-22T00:00:00.000","Norwood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00623269889364 40.723112757957125)","1","Manhattan","102","1","66","27","10","VARICK ST","GRAND STREET",,,,"X",,,"SoHo-Little Italy-Hudson Square","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.93331171429904 40.855326729795806)","1","Manhattan","112","10","72","31","13","Broadway","W 189 Street",,,,,"X",,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94780571344982 40.798820741210584)","1","Manhattan","111","9","68","30","13","5 Avenue","East 113 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.93943971898837 40.75059675088327)","4","Queens","402","26","36","59","7","Queens Plaza North","27 Street",,,,"X",,"2001-08-27T00:00:00.000","Queensbridge-Ravenswood-Dutch Kills","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.99776970233046 40.71196375987915)","1","Manhattan","103","1","65","27","10","Madison Street","Oliver Street",,,,,"X",,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.98247770637897 40.718283758463784)","1","Manhattan","103","2","65","27","10","Pitt Street","Rivington Street",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.92726171786765 40.83055673447427)","2","Bronx","204","16","84","29","15","Jerome Avenue","162 Street & Macombs Dam Bridge","X",,,,,"2009-03-04T00:00:00.000","Yankee Stadium-Macombs Dam Park","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.88151073213547 40.84065773098774)","2","Bronx","206","17","87","32","15","East Tremont Avenue","Bryant Avenue",,,,"X",,,"West Farms","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.01023669788829 40.71943075891427)","1","Manhattan","101","1","66","27","10","Greenwich Street","Franklin Street",,,,,"X",,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.78481976978959 40.72800575016201)","4","Queens","408","24","24","16","5","Union Turnpike","184 Street",,"X",,,,,"Jamaica Estates-Holliswood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90774372453863 40.826486734548205)","2","Bronx","203","17","79","32","15","3 Avenue","East 165 Street",,,,"X",,,"Morrisania","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.01438969714478 40.70359076205754)","1","Manhattan","101","1","61","27","10","State Street","Bridge Street",,,,"X",,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.9589227178208 40.65120377118855)","3","Brooklyn","314","40","42","20","9","Flatbush Avenue","Martense Street",,,,,"X",,"Flatbush","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95457736297887 40.61616189019205)","3","Brooklyn","314","48","41","22","9","Ocean Avenue","Avenue N","X",,,,,"2022-03-11T00:00:00.000","Midwood","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98868270606123 40.69384076384281)","3","Brooklyn","302","33","52","26","10","Adams Street","Fulton Street/Johnson Street",,,"X",,,,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86083573977308 40.81633373477896)","2","Bronx","209","18","85","34","14","Soundview Avenue","Theriot Avenue",,,,,"X",,"Soundview-Clason Point","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.8681087361992 40.844787729284775)","2","Bronx","211","15","87","33","15","Morris Park Avenue","Unionport Road","X",,,,,,"West Farms","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9835017030084 40.77604974703839)","1","Manhattan","107","6","67","47","12","Amsterdam Avenue","West 68 Street",,,,"X",,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94180071439632 40.812806738424214)","1","Manhattan","110","9","70","30","13","Lenox Avenue","W 133 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94107871328885 40.83159373483046)","1","Manhattan","112","7","71","31","13","St Nicholas Avenue","West 156 Street",,,"X",,,,"Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96700970735013 40.78846874385604)","1","Manhattan","164","6","69","47","12","Central Park W","W 91 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98306125724238 40.74047912753304)","1","Manhattan","106","2","74","59","12","East 25 Street","between Lexington Ave & 3 Ave",,,"X",,,,"Gramercy","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8093777608919 40.73882974876491)","4","Queens","407","20","25","16","6","LIE N S/R","159 Street",,,,"X",,,"Queensboro Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96409771589391 40.6628457687351)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 16",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01034569814392 40.7032597623492)","1","Manhattan","101","1","61","27","10","Water Street","Coenties Slip",,,,,"X",,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.88072474362302 40.6469257694187)","3","Brooklyn","305","42","60","19","8","Pennsylvania Avenue","Freeport Loop",,,,"X",,,"Spring Creek-Starrett City","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.9870647062683 40.69014376411921)","3","Brooklyn","302","33","52","26","10","Livingston Street","Gallatin Place",,,,"X",,,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94607471445087 40.7896407429165)","1","Manhattan","111","8","68","29","13","3 Avenue","East 103 Street",,,,"X",,,"East Harlem (South)","AE",,"3"
"POINT (-73.98385370305999 40.77047174783234)","1","Manhattan","107","3","75","47","12","Columbus Ave","W 61 Street",,,,,"X",,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98329370281905 40.78434374531576)","1","Manhattan","107","6","67","47","12","Riverside Drive","West 78 Street",,,,,"X",,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96983170670188 40.784601745026535)","1","Manhattan","164","6","69","47","12","Central Park W","W 85 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94150071577583 40.79190074264313)","1","Manhattan","111","8","68","29","13","2 Avenue","E 108 Street",,,,,"X",,"East Harlem (South)","AE",,"3"
"POINT (-73.95946970979455 40.782825744762896)","1","Manhattan","108","4","73","28","12","5 Avenue","East 88 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96114671454279 40.68876476375185)","3","Brooklyn","302","35","57","25","7","Lafayette Avenue","Emerson Place",,,"X",,,,"Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97064470875858 40.74505875262071)","1","Manhattan","106","4","74","59","12","FDR NB SR","East 37 Street",,,"X",,,,"Murray Hill-Kips Bay","AE",,"1"
"POINT (-73.99621870199924 40.713556759536445)","1","Manhattan","103","1","65","27","10","East Broadway","betw. Catherine/Market Str",,,"X",,,,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.00465069734648 40.74701375308433)","1","Manhattan","104","3","75","47","12","10 Avenue","West 22 Street",,,,,"X",,"Chelsea-Hudson Yards","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.94744272243081 40.64003877257331)","3","Brooklyn","317","45","42","21","9","Newkirk Avenue","East 31 Street",,,,"X",,,"East Flatbush-Farragut","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.07790868144946 40.62692877977404)","5","Staten Island","501","49","61","23","11","Canal Street","Wright Street & Water Street","X",,,,,"1986-03-20T00:00:00.000","Tompkinsville-Stapleton-Clifton-Fox Hills","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97888971214121 40.63432677501798)","3","Brooklyn","312","39","44","22","9","Dahill Rd","41 Street",,,,"X",,,"Borough Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.77610277496719 40.6740007606904)","4","Queens","412","28","32","10","5","Guy R Brewer Blvd","JUS 72",,,"X",,,,"Springfield Gardens (North)-Rochdale Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.87136373236874 40.90003171860714)","2","Bronx","212","11","81","36","15","Van Courtland Park East","Bet E. 239 st & Oneida Avenue",,,"X",,,,"Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99478270130177 40.743756754165695)","1","Manhattan","104","3","75","28","12","W 23 Street","between 6 Ave & 5 Ave",,,"X",,,,"Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.01153769779374 40.71429176060041)","1","Manhattan","101","1","66","27","10","Greenwich Street","Park Place",,,,,"X",,"Tribeca-Civic Center","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-74.01320969803325 40.70400976211504)","1","Manhattan","101","1","61","27","10","Whitehall Street","Stone Street",,,,,"X",,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.99325970234543 40.72234375827599)","1","Manhattan","103","1","65","27","10","Bowery","Prince Street",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.956343709313 40.80816374022313)","1","Manhattan","110","9","70","30","13","Morningside Avenue","West 120 Street",,,,,"X",,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9256667168463 40.86124972824914)","1","Manhattan","112","10","72","31","13","Nagle Avenue","Thayler Street",,,,"X",,,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97943770707577 40.73558075462971)","1","Manhattan","106","2","74","59","12","1 Avenue","East 21 Street",,,,,"X",,"Gramercy","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.98841670234883 40.756647751093865)","1","Manhattan","105","3","75","28","12","W 42 Street","Between 7 Ave and 8 Ave",,,"X",,,,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.0117026972604 40.70774676118529)","1","Manhattan","101","1","61","27","10","Broadway","Wall Street",,,,"X",,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.96914270820837 40.77371074746276)","1","Manhattan","164","6","67","28","12","Central Park Post #4","Terrace Drive",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85303174081605 40.84072672959514)","2","Bronx","210","18","87","34","14","Castle Hill Avenue","Metropolitan Avenue","X",,,,,"1987-01-12T00:00:00.000","Westchester Square","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.88511672976915 40.85842572720579)","2","Bronx","206","15","78","33","15","East Fordham Rd","Arthur Avenue","X",,,,,,"Belmont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9741267046789 40.797910742334366)","1","Manhattan","107","6","69","47","12","Riverside Drive","West 99 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98438171177222 40.61099878008025)","3","Brooklyn","311","44","47","17","11","Bay Pkwy","70 Street",,,,"X",,,"Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98430070264725 40.769843748160476)","1","Manhattan","107","3","75","47","12","9 Av & Columbus Av","West 59 Street",,,,,"X",,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97967071105863 40.66125076956828)","3","Brooklyn","306","39","44","20","10","Bartel Pritchard Sq","Prospect Park SW","X",,,,,"1978-12-22T00:00:00.000","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97360071282314 40.66456676917422)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 4",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92555171958766 40.81193273769084)","2","Bronx","201","8","84","29","15","3 Avenue","East 140 Street",,,,,"X",,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.93541371982485 40.74495375147244)","4","Queens","402","26","37","12","7","Thomson Avenue","31 Street","X",,,,,,"Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96166871500617 40.68268176462145)","3","Brooklyn","302","35","57","25","7","Grand Avenue","Putnam Avenue",,"X",,,,,"Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88374573900471 40.701696758576716)","4","Queens","405","30","38","15","7","Myrtle Avenue","68 Place",,,,"X",,,"Glendale","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.10843867513978 40.569776792110794)","5","Staten Island","502","50","64","24","11","New Dorp Lane","betw. Hylan Blvd & Mill Rd",,,"X",,,"2018-10-18T00:00:00.000","Miller Field","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.93646371402956 40.84047373299845)","1","Manhattan","112","10","72","31","13","Amsterdam Avenue","West 169 Street",,"X",,,"X",,"Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94703371165554 40.819199737291065)","1","Manhattan","110","9","70","30","13","St Nicholas Avenue","West 138 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90733473360808 40.671498765085765)","3","Brooklyn","316","37","55","25","8","Mother Gaston Blvd","Glenmore Avenue",,,,"X",,,"Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97551971116832 40.68674776483299)","3","Brooklyn","302","35","57","26","10","Fulton Street","So. Elliott Place",,,,"X",,,"Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82584375573046 40.74933874669449)","4","Queens","407","20","25","16","6","Main Street","Peack Avenue",,,,"X",,,"Queensboro Hill","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.74967578826576 40.60258577325854)","4","Queens","414","31","23","10","5","Mott Avenue","Cornaga Ave","X",,,,,"2011-07-21T00:00:00.000","Far Rockaway-Bayswater","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-74.0137546974282 40.70238976233264)","1","Manhattan","101","1","61","27","10","State Street","Peter Minuit Plaza",,"X",,,,"1986-09-23T00:00:00.000","Financial District-Battery Park City","AE",,"1"
"POINT (-73.91861371908406 40.85283572947008)","2","Bronx","205","14","86","31","13","West Tremont Avenue","Sedwick Avenue",,"X",,,,,"University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96263771659105 40.6592107698269)","3","Brooklyn","355","39","44","20","10","Ocean Avenue","Prospect Park N Entr.",,,"X",,,,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83339675294275 40.75551474605595)","4","Queens","407","20","40","16","6","College Point Blvd","41 Road","X",,,,,,"Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91689172103725 40.84133973167793)","2","Bronx","204","16","77","32","15","Jerome Avenue","East 171 Street",,,,"X",,,"Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.07972468009447 40.628941779414866)","5","Staten Island","501","49","61","23","11","Van Duzer Street","Beach Street","X",,,,,"2022-03-19T00:00:00.000","Tompkinsville-Stapleton-Clifton-Fox Hills","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.9508787167191 40.70950175931209)","3","Brooklyn","301","34","53","18","7","Union Avenue","South 2 Street",,,,"X",,,"Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.00931769730124 40.72469375832491)","1","Manhattan","101","1","66","27","10","Canal Street","Greenwich Street","X",,,,,,"Tribeca-Civic Center","AE",,"1"
"POINT (-73.96514670854445 40.775035747019025)","1","Manhattan","108","4","73","28","12","5 Avenue","East 76 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93680271671228 40.79407974173096)","1","Manhattan","111","8","68","29","13","1 Avenue","East 113 Street",,,"X",,,,"East Harlem (North)","AE",,"3"
"POINT (-74.00360269979977 40.71363775987919)","1","Manhattan","101","1","65","27","10","Centre Street","Laffayette Street & Reade St",,,,"X",,,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98236870696738 40.714659759337266)","1","Manhattan","103","1","65","27","10","Grand Street","East Broadway",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94693171319159 40.81087173876492)","1","Manhattan","110","9","70","30","13","7 Avenue","West 128 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91941073028468 40.66577076713531)","3","Brooklyn","316","41","55","25","8","55 WATER ST","MIDBLOCK SIGNAL",,,"X",,,,"Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.94459671348314 40.80322074040903)","1","Manhattan","111","9","68","30","13","East 120 Street","5 Avenue",,,,,"X",,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.01254269824605 40.7014727627643)","1","Manhattan","101","1","61","27","10","South Street","Whitehall Street",,,,,"X",,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.97192771369235 40.65288777055204)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 9",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9146187220305 40.8390557326123)","2","Bronx","204","14","84","32","15","East 170 Street","150' West of Grand Concourse",,,"X",,,,"Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96356171894028 40.61623077771892)","3","Brooklyn","314","48","48","22","9","Coney Island Ave","Roder Ave",,,,"X",,,"Midwood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8224577591592 40.70364675579078)","4","Queens","409","29","24","15","5","Hillside Avenue","Metropolitain Avenue","X",,,,,,"Richmond Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96010470859883 40.808112740018565)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue","West 118 Street",,,,"X",,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92887171574601 40.86465772742832)","1","Manhattan","112","10","72","31","13","Broadway","Arden Street",,,,,"X",,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.95371670965999 40.82528673667468)","1","Manhattan","109","7","71","30","13","Riverside Drive","West 142 Street",,,,"x",,,"Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94901071281224 40.79427274253895)","1","Manhattan","111","8","68","29","13","Madison Avenue","E 107 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.01029169642942 40.73127775682545)","1","Manhattan","102","3","66","27","10","West St","Morton St",,,,"x",,,"West Village","AE",,"1"
"POINT (-73.97025571495301 40.644542772360275)","3","Brooklyn","314","40","44","21","9","Coney Island Ave","Hinckley Pl",,,,,"X","2018-01-31T00:00:00.000","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.02929469757566 40.620478779580566)","3","Brooklyn","310","43","46","26","11","4 Avenue","89 Street (proposed)",,,,"X",,,"Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86555673609332 40.86317172617267)","2","Bronx","211","13","80","33","15","Boston Road","Mace Avenue","X",,,,,"1969-01-07T00:00:00.000","Allerton","X","AREA OF MINIMAL FLOOD HAZARD",
