"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"B019057/18","394153","2074 VYSE AVENUE","5B","2018-10-05T00:00:00.000","Richard","McCoy","Residential","BRONX","10460","Not an Ejectment","Possession","40.843276","-73.881016","6","15","361","2013253","2031320019","East Tremont"
"304498/21","001084","259-11 149TH ROAD",,"2022-08-01T00:00:00.000","David","Smith","Residential","QUEENS","11422","Not an Ejectment","Possession","40.652160","-73.729259","13","31","656","4291126","4136900101","Rosedale"
"13225/17","332929","220 WEST 167TH STREET","6K","2017-08-07T00:00:00.000","Thomas","Bia","Residential","BRONX","10452","Not an Ejectment","Possession","40.838482","-73.928014","4","16","193","2117215","2025270055","Highbridge"
"31616/19","357200","863 MELROSE AVENUE","4I","2020-03-04T00:00:00.000","Thomas","Bia","Residential","BRONX","10451","Not an Ejectment","Possession","40.823854","-73.914032","3","17","141","2116638","2024070023","Morrisania-Melrose"
"29002/18","482874","2454 TIEBOUT AVENUE","3G","2018-08-31T00:00:00.000","Danny","Weinheim","Residential","BRONX","10458","Not an Ejectment","Possession","40.860568","-73.895439","5","15","39902","2010998","2030220058","Bedford Park-Fordham North"
"Q065750/17","383943","120 BEACH 19TH ST","7C","2017-09-11T00:00:00.000","Richard","McCoy","Residential","QUEENS","11691","Not an Ejectment","Possession","40.593572","-73.753179","14","31","101001","4436179","4156380001","Far Rockaway-Bayswater"
"31689/17","339471","2325 CAMBRELENG AVENUE","8","2018-02-16T00:00:00.000","Thomas","Bia","Residential","BRONX","10458","Not an Ejectment","Possession","40.853374","-73.885831","6","15","391","2012491","2030880035","Belmont"
"5474/16","064797","993 SUMMIT AVENUE","3W","2017-06-05T00:00:00.000","Henry","Daley","Residential","BRONX","10452","Not an Ejectment","Possession","40.832934","-73.930368","4","8","189","2003430","2025230161","Highbridge"
"N50483/18","087504","1833 AMSTERDAM AVENU E","2J","2018-05-14T00:00:00.000","Ileana","Rivera","Residential","MANHATTAN","10031","Not an Ejectment","Possession","40.828827","-73.944967","9","7","23501","1079791","1020650001","Hamilton Heights"
"35978/17","072359","10 RICHMAN PLAZA","32H","2018-03-27T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.851533","-73.922961","5","16","53","2093973","2028820229","University Heights-Morris Heights"
"60446/16","058390","1360 HICKS STREET","GC","2017-05-18T00:00:00.000","Justin","Grossman","Residential","BRONX","10469","Not an Ejectment","Possession","40.877995","-73.850691","12","12","386","2117058","2047130001","Eastchester-Edenwald-Baychester"
"314096/22","14525","501 EAST 176TH STREET UNIT/APT. #04","04","2023-02-06T00:00:00.000","Robert","Renzulli","Residential","BRONX","10457","Not an Ejectment","Possession","40.845609","-73.897569","6","15","395","2009599","2029240001","Claremont-Bathgate"
"Q068572/19","408899","146 BEACH 59TH STREET","0704","2020-01-22T00:00:00.000","Richard","McCoy","Residential","QUEENS","11692","Not an Ejectment","Possession","40.590420","-73.788731","14","31","97202","4459305","4159260001","Hammels-Arverne-Edgemere"
"R52891/16","074724","31 MAXI COURT","#2","2017-05-23T00:00:00.000","Ileana","Rivera","Residential","STATEN ISLAND","10304","Not an Ejectment","Possession","40.621722","-74.085960","1","49","33","5134642","5006150282","Grymes Hill-Clifton-Fox Hills"
"56567/18","078800","1515 49TH STREET","ENTIRE GARAGE","2018-06-08T00:00:00.000","Justin","Grossman","Commercial","BROOKLYN","11219","Not an Ejectment","Possession","40.632041","-73.987156","12","44","234","3259673","3054470072","Borough Park"
"64974/19","100145","164-30 HILLSIDE AVEN UE","5G","2019-10-28T00:00:00.000","Justin","Grossman","Residential","QUEENS","11432","Not an Ejectment","Possession","40.709118","-73.797827","12","24","44602","4210057","4098140026","Jamaica"
"28904/17","066774","878 EAST 176TH ST","4-A","2017-09-26T00:00:00.000","Justin","Grossman","Residential","BRONX","10460","Not an Ejectment","Possession","40.840881","-73.887508","6","17","367","2010121","2029580050","East Tremont"
"34556/17","473167","707 EAST 242 STREET","4J","2017-09-25T00:00:00.000","Danny","Weinheim","Residential","BRONX","10470","Not an Ejectment","Possession","40.905645","-73.849026","12","11","442","2071915","2051150024","Woodlawn-Wakefield"
"K308713/22","122639","40 VANDERBILT AVENUE","409","2023-04-26T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11205","Not an Ejectment","Possession","40.696817","-73.970580","2","35","211","3395153","3020330001","Fort Greene"
"87223/17","075352","3030 OCEAN AVENUE","3G","2018-04-18T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11235","Not an Ejectment","Possession","40.587246","-73.949116","15","48","600","3205032","3074640022","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"308979/22","111317","WEST 4TH STREET STAT ION,SIXTH AVENUE AND EIGHTH AVS--NEWSSTAND","UNIT 03-LOCATED AT T","2023-03-02T00:00:00.000","Justin","Grossman","Commercial","MANHATTAN","10011","Not an Ejectment","Possession",,,,,,,,
"B013106/19","403846","4053 CARPENTER AVENUE","3A","2019-10-04T00:00:00.000","Richard","McCoy","Residential","BRONX","10466","Not an Ejectment","Possession","40.890972","-73.862109","12","12","408","2062878","2048220001","Williamsbridge-Olinville"
"59145/18A","091375","1041 WARD AVENUE","1ST FLOOR","2019-06-20T00:00:00.000","Justin","Grossman","Residential","BRONX","10472","Not an Ejectment","Possession","40.825041","-73.876446","9","18","5001","2023499","2037150050","Soundview-Bruckner"
"76589/16","328919","418 WEST 128TH STREET","15","2017-02-27T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10027","Not an Ejectment","Possession","40.813164","-73.952325","9","9","21303","1059392","1019540055","Manhattanville"
"49687/18","485898","2605 BAINBRIDGE AVE","2C","2019-01-04T00:00:00.000","Danny","Weinheim","Residential","BRONX","10458","Not an Ejectment","Possession","40.864230","-73.892353","7","15","39901","2016800","2032930056","Bedford Park-Fordham North"
"305226/23","006000","1245 EASTERN PARKWAY","C14","2023-06-12T00:00:00.000","David","Smith","Residential","BROOKLYN","11213","Not an Ejectment","Possession","40.668590","-73.927072","8","41","357","3037393","3013920023","Crown Heights North"
"61728/19","097766","104-68 129TH STREET","1ST FLOOR APT.","2019-09-16T00:00:00.000","Henry","Daley","Residential","QUEENS","11419","Not an Ejectment","Possession","40.688849","-73.816066","10","28","15802","4204784","4095820033","South Ozone Park"
"39601/17A","073764","2260 CROTONA AVENUE","6D","2018-04-03T00:00:00.000","Justin","Grossman","Residential","BRONX","10457","Not an Ejectment","Possession","40.851232","-73.885242","6","15","393","2012816","2031010023","Belmont"
"K302668/21","120496","959 SAINT MARKS AVENUE","4G","2022-02-08T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11213","Not an Ejectment","Possession","40.674641","-73.939528","8","36","311","3030845","3012230053","Crown Heights North"
"88123/16-2","201440","589 QUINCY STREET","2R","2017-04-05T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.688728","-73.935365","3","36","291","3044293","3016250079","Stuyvesant Heights"
"53746/16B","064593","2354 PITKIN AVENUE","1ST FLOOR","2017-06-09T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.673422","-73.885487","5","37","1150","3089180","3040150020","East New York"
"34731/18","485098","3184 GRAND CONCOURSE","4-J","2018-11-20T00:00:00.000","Danny","Weinheim","Residential","BRONX","10458","Not an Ejectment","Possession","40.876489","-73.885687","7","11","413","2017403","2033130069","Bedford Park-Fordham North"
"55784/19","095648","195-24/30 JAMAICA AVENUE","B02","2019-07-12T00:00:00.000","Henry","Daley","Residential","QUEENS","11423","Not an Ejectment","Possession",,,,,,,,
"65626/18","086470","64-20 SAUNDERS ST","D12","2018-09-11T00:00:00.000","Henry","Daley","Residential","QUEENS","11374","Not an Ejectment","Possession","40.728411","-73.860436","6","29","69701","4072147","4030850008","Rego Park"
"33027/19","100017","2006 ELLIS AVENUE A/ K/A 2006 CROSS BRONX EXPRESSWAY","D","2019-10-24T00:00:00.000","Justin","Grossman","Residential","BRONX","10472","Not an Ejectment","Possession","40.831829","-73.857205","9","18","78","2026229","2038030005","Westchester-Unionport"
"252570/17","009697","318 EAST 126TH ST","5D","2018-03-20T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10035","Not an Ejectment","Possession","40.803108","-73.932357","11","8","242","1054794","1018020040","East Harlem North"
"7982/18","094316","2558 CRESTON AVENUE","5C","2019-05-21T00:00:00.000","Henry","Daley","Residential","BRONX","10468","Not an Ejectment","Possession","40.864358","-73.897027","7","14","401","2092403","2031670040","Bedford Park-Fordham North"
"28160/17","334950","2733 MORRIS AVENUE","SLS","2017-08-07T00:00:00.000","Thomas","Bia","Residential","BRONX","10468","Not an Ejectment","Possession","40.868281","-73.895347","7","14","40304","2017489","2033170036","Van Cortlandt Village"
"72496/11","436187","327 WEST 83RD STREET","2D","2017-05-04T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10024","Not an Ejectment","Possession","40.787448","-73.980518","7","6","171","1033816","1012450058","Upper West Side"
"308486/21","021837","168-32 LIBERTY AVE","BSMT","2023-05-26T00:00:00.000","George","Essock, Jr.","Residential","QUEENS","11433","Not an Ejectment","Possession","40.702956","-73.789803","12","27","440","4217763","4102220012","South Jamaica"
"74301/16BX","061365","623 MANIDA STREET","1","2017-05-25T00:00:00.000","Justin","Grossman","Residential","BRONX","10474","Not an Ejectment","Possession","40.812617","-73.887917","2","17","93","2006638","2027650226","Hunts Point"
"K62958/17","079562","116 ROEBLING STREET",,"2017-08-29T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11211","Not an Ejectment","Possession","40.715430","-73.956085","1","33","519","3062243","3023370026","North Side-South Side"
"79797/17","16959","144-73 177 STREET",,"2018-06-04T00:00:00.000","Edward","Guida","Residential","QUEENS","11434","Not an Ejectment","Possession","40.665826","-73.772012","13","31","306","4535910","4132910041","Springfield Gardens South-Brookville"
"098782/16","002160","210 SUNNYSIDE AVENUE",,"2017-05-16T00:00:00.000","Vadim","Barbarovich","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.682666","-73.889884","5","37","114202","3086450","3038980011","Cypress Hills-City Line"
"74977/16","7171","629 LENOX AVENUE GROUND FLOOR RETAIL STORE",,"2018-07-02T00:00:00.000","Robert","Renzulli","Commercial","MANHATTAN","10037","Not an Ejectment","Possession",,,,,,,,
"68196/17","7618","226 NORMAN AVENUE APARTMENT 6",,"2018-03-05T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11222","Not an Ejectment","Possession","40.727516","-73.944384","1","33","589","3066475","3026550004","Greenpoint"
"303202/20","035082","1268 HANCOCK STREET APT 3",,"2022-03-22T00:00:00.000","Bruce","Kemp","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.692987","-73.910422","4","37","437","3078349","3033980021","Bushwick North"
"75480/17","7037","1407 BROADWAY - SUITE 2116A (21ST FL)","STE 2116A","2018-02-05T00:00:00.000","Robert","Renzulli","Commercial","MANHATTAN","10018","Not an Ejectment","Possession",,,,,,,,
"77924/17","008763","230 EAST 58TH STREET",,"2018-05-15T00:00:00.000","George","Essock, Jr.","Commercial","MANHATTAN","10022","Not an Ejectment","Possession","40.760549","-73.966170","6","4","108","1038611","1013310034","Turtle Bay-East Midtown"
"67440/16","6054","44-03 28TH AVENUE",,"2017-03-29T00:00:00.000","Edward","Guida","Residential","QUEENS","11103","Not an Ejectment","Possession","40.763926","-73.910369","1","22","145","4012696","4007150007","Astoria"
"53276/18","344218","2612 BROADWAY","213","2018-06-06T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10025","Not an Ejectment","Possession","40.796347","-73.970536","7","7","187","1056409","1018700045","Upper West Side"
"20039/18","080706","627 MANIDA STREET","4","2018-07-05T00:00:00.000","Justin","Grossman","Residential","BRONX","10474","Not an Ejectment","Possession","40.812680","-73.887931","2","17","93","2006637","2027650219","Hunts Point"
"K65713/17","079696","106 LINDEN STREET",,"2017-07-18T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.693164","-73.919620","4","34","417","3342294","3033320012","Bushwick South"
"61106/17","293438","170-11A 108TH AVENUE  1ST FL.BACK ROOM",,"2017-12-11T00:00:00.000","George","Essock","Residential","QUEENS","11433","Not an Ejectment","Possession",,,,,,,,
"51453/17","061491","130 WEST 228TH ST","5-H","2017-03-30T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10463","Not an Ejectment","Possession","40.876455","-73.908500","8","10","309","1064685","1022150586","Marble Hill-Inwood"
"91734/17","17536","9501 AVENUE L",,"2018-08-03T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11236","Not an Ejectment","Possession","40.637748","-73.896743","18","46","990","3326754","3082410010","Canarsie"
"B49259/18B","111237","1945 COLDEN AVENUE","SECOND FLOOR","2019-04-01T00:00:00.000","Darlene","Barone","Residential","BRONX","10462","Not an Ejectment","Possession","40.850947","-73.858519","11","13","250","2048283","2042670045","Pelham Parkway"
"62563/18","9257","126-24 OLD SOUTH ROAD - APT 2ND FLOOR & DRIVEWAY & BACKYARD",,"2019-01-25T00:00:00.000","Robert","Renzulli","Residential","QUEENS","11420","Not an Ejectment","Possession",,,,,,,,
"7993/18","345877","2728 YATES AVENUE","GROUND FL","2018-10-10T00:00:00.000","Thomas","Bia","Residential","BRONX","10469","Not an Ejectment","Possession","40.865981","-73.854738","11","13","348","2054054","2045220012","Allerton-Pelham Gardens"
"K80206/19","101069","2302 STRAUSS STREET","1R","2020-02-05T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.657560","-73.913468","16","42","896","3082431","3036080052","Brownsville"
"73306/19","27221","216-23 136 ROAD",,"2022-09-14T00:00:00.000","Edward","Guida","Residential","QUEENS","11413","Not an Ejectment","Possession",,,,,,,,
"80073/16","057597","366 JUNIUS STREET","ENTIRE","2017-03-20T00:00:00.000","Justin","Grossman","Commercial","BROOKLYN","11212","Not an Ejectment","Possession","40.665802","-73.902002","16","42","910","3084427","3037800044","Brownsville"
"81925/18","105392","6301 23RD AVENUE","F5","2020-03-11T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11204","Not an Ejectment","Possession","40.613570","-73.978072","11","44","436","3172429","3065580008","Bensonhurst East"
"52291/19","078344","25 PROSPECT AVE.",,"2020-01-24T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10301","Not an Ejectment","Possession","40.640145","-74.088794","1","49","81","5001259","5000530081","West New Brighton-New Brighton-St. George"
"K97608/16A","093799","458 RUBY STREET","B","2017-07-12T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.670998","-73.860332","5","42","1208","3389792","3044710109","East New York"
"K090467/15","359360","675 LINCOLN AVENUE","17U","2018-02-05T00:00:00.000","Richard","McCoy","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.672675","-73.866436","5","42","1208","3095889","3042710005","East New York"
"68557/16","6244","161-12 JEWEL AVE","2D","2017-01-12T00:00:00.000","Edward","Guida","Residential","QUEENS","11365","Not an Ejectment","Possession","40.731820","-73.807186","8","24","122701","4451562","4067890015","Pomonok-Flushing Heights-Hillcrest"
"69060/18","8717","118-11 234TH ST.",,"2019-03-28T00:00:00.000","Bernard","Blake","Residential","QUEENS","11411","Not an Ejectment","Possession","40.689494","-73.728909","13","27","622","4275282","4127710012","Cambria Heights"
"80648/17B","070619","1196 EAST 93RD ST","B","2017-11-29T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11236","Not an Ejectment","Possession","40.641064","-73.903133","18","46","966","3229972","3082000056","Canarsie"
"304107/22","109835","2726 DECATUR AVENUE","23","2023-01-06T00:00:00.000","Justin","Grossman","Residential","BRONX","10458","Not an Ejectment","Possession","40.865516","-73.888037","7","15","40502","2016379","2032780018","Bedford Park-Fordham North"
