"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2008-00501",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Recycling - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01093",,,"TWC-0",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Cardboard-Theft - Trade Waste","89 & Lexington","nyc","NY",,"NYC","Truckmaxx Truck Rental",,,"UNLICENSED",,"718-828-7551",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01253",,"BROOKLYN BIO DIESEL INC.","TWC-2892",,"Trade Waste",,"PHONE - 6300","Referred To BIC Intel","Closed",,"Complaint","Unlicensed Carter - Trade Waste;Waste Oil - Trade Waste","Various Locations","UNKNOWN",,,,"BROOKLYN BIO DIESEL INC.","35 SEA COAST TERRACE APT 20R","BROOKLYN","RENEWAL PENDING",,"(888) 552-4637",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-190815",,,,"2014-07-16T00:00:00.000","Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed","13.0","Complaint","Unlicensed Carter - Trade Waste","43-57 162nd Street","Flushing","NY","11358","Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.75831","-73.804254","7","20","1193","4122406","4054200001","East Flushing"
"2009-02313",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192586",,,,"2015-11-12T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To BIC Intel","Closed","6.0","Complaint","Criminal - All;Waste Oil - Trade Waste","188-09 Union Turnpike","Fresh Meadows","NY","11366","Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.729273","-73.780978","8","23","1333","4155063","4072050033","Fresh Meadows-Utopia"
"2008-00343",,"P.J.C. SANITATION SERVICE INC.","TWC-193",,"Trade Waste",,"PHONE - 6275","Resolved","Closed",,"Complaint","Other - All","Newkirk Ave. & Rugby",,"NY",,"Brooklyn","P.J.C. SANITATION SERVICE INC.","590 ATKINS AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 272-7172",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01712",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01256",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192170","Trade Waste","AMRO CARTING CORP.","BIC-61","2015-07-13T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Complaint","Service - All","592 Amsterdam Ave","New York","ny","10024","Manhattan","AMRO CARTING CORP.","337 COSTER STREET","BRONX","NY","10474-",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.789393","-73.973782","7","6","175","1033298","1012360035","Upper West Side"
"2010-00319",,"225 OAK LLC","TWC-597",,"Trade Waste",,"PHONE - 6300","Referred To BIC Intel","Closed",,"Complaint","Other - All",,,,,,"225 OAK LLC","200 EAST 61 STREET","NEW YORK","RENEWAL APPROVED",,"(212) 588-1819",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193748","Trade Waste","METROPOLITAN PAPER RECYCLING, INC.","BIC-1431","2017-11-15T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","2.0","Complaint","Other - All","55-52 Myrtle Avenue","Ridgewood","NY","11385","Queens","METROPOLITAN PAPER RECYCLING, INC.","847 SHEPHERD AVENUE","BROOKLYN","NY","11208-",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.700047","-73.906802","5","34","553","4085460","4035460057","Ridgewood"
"2013-00698",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196698","Trade Waste","BESTWAY CARTING INC.","BIC-280","2022-10-26T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","0.0","Complaint","Quality of Life-Noise - Trade Waste;Other - All",,,,,,"BESTWAY CARTING INC.","49-60 ANNANDALE LANE","LITTLE NECK","NY","11362",,,,,,,"False","True","E-Mail","2023-08-25",,,,,,,,,
"2012-00065",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00587",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191411",,,,"2014-12-10T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-01036",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194962",,,,"2019-06-28T00:00:00.000","Trade Waste",,"PHONE - 6300","Violation Written","Closed","4.0","Complaint","Unlicensed Carter - Trade Waste","91st Street and Roosevelt Ave","Jackson Heights","NY","11372","Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-190192",,,,"2014-02-25T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed","0.0","Inquiry","Information - All;Disposal - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-196639",,,,"2022-09-02T00:00:00.000","Trade Waste",,"E-Mail","Resolved","Closed","4.0","Complaint","Quality of Life-Spillage - Trade Waste","1220 & 1047 Surf Avenue","Brooklyn","NY",,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2009-00227",,"WALDORF CARTING CORP.  D/B/A  WALDORF CARTING","TWC-366",,"Trade Waste",,"PHONE - OTHER","Resolved","Closed",,"Inquiry","Information - All",,,,,,"WALDORF CARTING CORP.  D/B/A  WALDORF CARTING","95 BRUCKNER BOULEVARD","BRONX","SOLD",,"(718) 585-2390",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01437",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01026",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","14-75 Egmont Place","nyc","NY",,"Staten Island","F&M Landscaping of NY Corp.","42 Clinton Ave","nyc","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01949",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01957",,,"TWC-0",,"Trade Waste",,"MAIL","Resolved","Closed",,"Complaint","Unlicensed Carter - Trade Waste","139-38 249 St.","nyc","NY",,"Queens","M&M Landscaping","11-27 Nameoke St","nyc","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00372",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred To Licensing","Closed",,"Complaint","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-01149",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - OTHER","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","754 Union St.","Brooklyn","NY","11215-","Brooklyn","ACTION CARTING ENVIRONMENTAL SERVICES INC.","451 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL APPROVED","11215-","(973) 623-7600",,,,,,"False","False",,"2023-08-25","BROOKLYN","40.675283","-73.977591","6","39","157","3020180","3009570003","Park Slope-Gowanus"
"2007-00121",,"T. I. A. OF NEW  YORK INC.","TWC-1157",,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Complaint","Containers-Abandoned - Trade Waste",,,"NY",,"NYC","T. I. A. OF NEW  YORK INC.","1842 NEWBRIDGE ROAD5","NORTH BELLMORE","RENEWAL PENDING",,"(718) 474-0600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196103","Trade Waste","REGENCY RECYCLING CORP.","BIC-1361","2021-08-13T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","3.0","Complaint","Other - All","2826 Brigham Street","Brooklyn","NY",,"Brooklyn","REGENCY RECYCLING CORP.","24810 Brookville Blvd","Rosedale","NY","11422-3119",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2012-01135",,,"TWC-NaN",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Complaint","Cardboard-Theft - Trade Waste","4901 kings Highway","Brooklyn","NY","11234-","Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25","BROOKLYN","40.63328","-73.929355","18","45","724","3000000","3077330016","Flatlands"
"2012-00839",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00824",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01283",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","138-27 90 Ave","nyc","NY",,"Queens","Hernandez Landscaping","104-19 93 Ave; Apt 1","nyc","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00626",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Quality of Life-Spillage - Trade Waste","14 between 2d and 3rd","NYC","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00231",,,,,"Trade Waste",,"311/PHONE - 9278","Unsubstantiated","Closed",,"Inquiry","Containers-Unremoved - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00640",,"LETICIA INC","TWC-2078",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Other - All",,,,,,"LETICIA INC","640 IRVINGTON AVENUE","HILLSIDE","RENEWAL PENDING",,"(908) 355-4768",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191785",,,,"2015-04-02T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2012-00972",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All;Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00790",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00041",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-01163",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Service - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-193360",,,,"2017-02-27T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2010-01903",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195022","Trade Waste","RIZZO ASSOCIATES, INC.","BIC-3082 / BIC-1083","2019-07-30T00:00:00.000","Trade Waste","Active","PHONE - 6300","Insufficient Information","Closed","9.0","Complaint","Containers-Theft - Trade Waste",,,,,,"RIZZO ASSOCIATES, INC.","178 E HAWTHORNE AVE","VALLEY STREAM","NY","11580-6033",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2012-01366",,,"TWC-NaN",,"Trade Waste",,"PHONE - OTHER","Unsubstantiated","Closed",,"Complaint","Misinformation - All;Disposal - All","1775 South Avenue","Staten Island","NY","10314-","NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25","STATEN IS","40.601629","-74.192971","2","50","29102","5104123","5028000037","New Springville-Bloomfield-Travis"
"2010-01023",,"T. I. A. OF NEW  YORK INC.","TWC-1157",,"Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"T. I. A. OF NEW  YORK INC.","1842 NEWBRIDGE ROAD5","NORTH BELLMORE","RENEWAL PENDING",,"(718) 474-0600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00213",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01518",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Inquiry","Unlicensed Carter - Trade Waste","64-05 214 St.",,"NY",,,"gamez lawn experts",,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01215",,,"TWC-1059",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste","120 Crosby St, 128 Crosby St","nyc","NY",,"NYC","IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.","1099 WALL STREET WEST","LYNDHURST","RENEWAL APPROVED",,"(201) 443-3000",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196965",,,,"2023-07-10T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed","8.0","Complaint","Improper Disposal - Trade Waste","325 W. 44th Street","New York","NY","10036","Manhattan",,,,,,,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.758926","-73.989752","4","3","121","1080879","1010350017","Clinton"
"COMP-192278","Trade Waste","FIVE STAR CARTING, INC.","BIC-1719","2015-08-05T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","1.0","Complaint","Billing - All;Disposal - All;Service - All","92-11 Ditmas Avenue","Brooklyn","NY","11236","Brooklyn","FIVE STAR CARTING, INC.","5835 47TH STREET","MASPETH","NY","11378-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.649172","-73.9131","17","42","930","3339544","3081100009","Rugby-Remsen Village"
"INQ-193089",,,,"2016-08-16T00:00:00.000","Trade Waste",,"MAIL","Referred back to 311","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"True","False","Letter","2023-08-25",,,,,,,,,
"2010-01449",,"CITYWIDE CONTAINER SERVICE CORP.","TWC-252",,"Trade Waste",,"PHONE - 6275","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","554 W. 53 St. (near 11 Ave)","nyc","NY",,"NYC","CITYWIDE CONTAINER SERVICE CORP.","60 ANTHONY STREET","BROOKLYN","RENEWAL PENDING",,"(718) 599-9087",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01746",,"CROWN CONTAINER TRANSFER STATION CO., INC.","TWC-307",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Service - All",,,,,,"CROWN CONTAINER CO. INC.","75 AMBY AVENUE","PLAINVIEW","RENEWAL APPROVED","11208-","(718) 527-1414",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00930",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","2518 Ave. U","nyc","NY",,"Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-01053",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02042",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Billing - All;Contracts - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00636",,,"TWC-1059",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All;Decals - Trade Waste",,,,,,"IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.","1099 WALL STREET WEST","LYNDHURST","RENEWAL PENDING",,"(201) 443-3000",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00587",,,,,"Trade Waste",,"PHONE","Unable to Contact Complainant","Closed",,"Inquiry",,,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192213",,,,"2015-07-21T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed","0.0","Complaint","Misinformation - All;Decals - Trade Waste",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00050",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Other - All",,,,,,"N/A",,,,"10314-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00624",,"GUMBALL  RUBBISH  REMOVAL","TWC-1",,"Trade Waste",,"PHONE - OTHER","Unsubstantiated","Closed",,"Inquiry","Harassment - All;Disposal - All;Service - All","1171 E. 38 St.",,"NY",,"Brooklyn","GUMBALL  RUBBISH  REMOVAL","427 LAURENCE PARKWAY","AMBOY","RENEWAL APPROVED",,"(718) 230-8488",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-190151","Trade Waste","MID-BRONX HAULAGE CORP.","BIC-175","2014-02-10T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","2.0","Inquiry","Service - All",,,,,,"MID BRONX HAULAGE CORP.","408 COSTER STREET","BRONX","NY","10474",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2009-01193",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred back to 311","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00020",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Other - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00396",,,,,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01782",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Inquiry","Unlicensed Carter - Trade Waste","1016 Edgegrove Ave",,"NY",,"Staten Island",,,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191367","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2014-11-25T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","8.0","Complaint","Containers-Unremoved - Trade Waste","195 Buffalo Ave","Brooklyn","NY","11213-3206","Brooklyn","ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.67259","-73.925182","8","41","359","3000000","3013690007","Crown Heights North"
"2010-01217",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00751",,,,,"Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,"10306-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00249",,,"TWC-0",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Inquiry","Unlicensed Carter - Trade Waste","39 Ave. (between Prince and Main St.)","NYC","NY",,"Queens","Mario Brothers",,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01315",,,"TWC-NaN",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00948",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Containers-Unremoved - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00398",,"M & G CARTING, LLC","TWC-87",,"Trade Waste",,"FAX","Referred To BIC Intel","Closed",,"Complaint","Waste Stream Survey - Trade Waste;Recycling - Trade Waste","555 West 25th Street",,"NY","10001","NYC","M&G CARTING CO LLC.","303 5 AVENUE","NEW YORK","RENEWAL EXTENSION","10001-","(212) 689-0332",,,,,,"False","False",,"2023-08-25","MANHATTAN","40.749704","-74.00493","4","3","99","1012379","1006970005","Hudson Yards-Chelsea-Flatiron-Union Square"
"2011-00406",,,,,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00805",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","148-58 Huxely St","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196228",,,,"2021-10-22T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed","6.0","Complaint","Other - All","145 E Service Rd","Staten Island","NY","10314","Staten Island",,,,,,,,,,,,"False","True",,"2023-08-25","STATEN IS","40.587884","-74.192373","2","50","29102","5107392","5026380050","New Springville-Bloomfield-Travis"
"2008-00606",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00910",,"CROWN CONTAINER TRANSFER STATION CO., INC.","TWC-307",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Contracts - Trade Waste;Rates-Overcharge - Trade Waste","139-32 Hillside Ave.","nyc","NY","11325-","Queens","CROWN CONTAINER CO. INC.","75 AMBY AVENUE","PLAINVIEW","RENEWAL APPROVED","11325-","(718) 527-1414",,,,,,"False","False",,"2023-08-25","QUEENS","40.704469","-73.814176","12","24","214","4206926","4096850004","Briarwood-Jamaica Hills"
"2008-01571",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed",,"Inquiry","Misinformation - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00286",,"CENTURY WASTE SERVICES L.L.C.","TWC-1323",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","FOIL - All",,,,,,"CENTURY WASTE SERVICES L.L.C.","623 DOWD AVENUE","ELIZABETH","RENEWAL APPROVED","10709-3110","(908) 558-9540",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196316",,,,"2022-01-24T00:00:00.000","Trade Waste",,"WEB-MAIL","Withdrawn","Closed","2.0","Complaint","Cardboard-Theft - Trade Waste","1384 Nelson Avenue","Bronx","NY","10452","Bronx",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","BRONX","40.841588","-73.922593","4","16","211","2098366","2025200032","Highbridge"
"2011-01401",,,"TWC-NaN",,"Trade Waste",,"FAX","Resolved","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,"07410-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
