"the_geom","cornerid","rampid","ramp_onstr","geocyclora","borough","stname1","stname2","curb_reveal","ramp_running_slope_total","dws_conditions","gutter_slope","lnd_width","lnd_length","lnd_cross_slope","counter_slope","ramp_width","ramp_right_flare","ramp_left_flare","ramp_length","ramp_cross_slope","ponding","obstacles_ramp","obstacles_landing"
"POINT (-73.98793498811217 40.603973476137604)","1136215","32225","80 STREET, 23 AVENUE","2018-05-23T00:00:00.000","3","80 STREET","23 AVENUE","1.0","6.7","Good Condition","1.2","48.5","41.9","1.5","-3.6","54.1","11.9","57.3","-8.8","1.3","No","None","None"
"POINT (-73.96914531973347 40.62424126392937)","1130220","2605","EAST 7 STREET","2018-04-21T00:00:00.000","3","EAST 7 STREET","AVENUE J","0.4","2.1","Missing","-2.9","56.6","60.0","-3.5","-5.0","49.7","11.0","46.8","-10.7","-3.2","No","None","None"
"POINT (-73.9663951025081 40.60963658407752)","1130830","2558","AVENUE P","2018-04-23T00:00:00.000","3","AVENUE P","EAST 7 STREET","1.9","7.3","Good Condition","0.7","42.2","60.0","-0.8","3.3","45.1","25.7","62.5","-26.5","-2.1","No","None","None"
"POINT (-73.99423193493325 40.72270572221968)","1084882","25838","PRINCE STREET","2018-05-25T00:00:00.000","1","ELIZABETH STREET","PRINCE STREET","0.4","5.6","Good Condition","-0.2","53.6","60.0","0.6","-7.0","47.3","8.8","57.1","-14.8","-1.1","Yes","Utility access","None"
"POINT (-73.9419828881681 40.59589921335518)","1131822","5880","EAST 29 STREET","2018-05-10T00:00:00.000","3","EAST 29 STREET","AVENUE W","1.0","8.5","Good Condition","-0.2","47.8","29.8","0.9","-7.7","47.1","12.5","54.1","-14.8","1.1","No","None","None"
"POINT (-73.80851938326116 40.76120305349302)","1059315","12789","157 STREET","2018-04-18T00:00:00.000","4","157 STREET","SANFORD AVENUE","0.4","4.4","Missing","-0.8","57.5","60.0","-3.5","-2.8","50.5","7.2","66.1","-16.0","-0.7","No","None","None"
"POINT (-73.92855876525232 40.80986383366244)","1021842","16","EAST 136 STREET","2018-03-29T00:00:00.000","2","EAST 136 STREET","3 AVENUE","0.9","16.6","Missing","3.2","45.0","60.0","-0.2","-8.6","50.0","24.0","52.4","-15.7","-5.8","No","None","None"
"POINT (-73.87538288423026 40.71566238893246)","1029680","20787","78 STREET, JUNIPER VALLEY ROAD","2018-05-15T00:00:00.000","4","78 STREET","JUNIPER VALLEY ROAD","0.6","6.3","Missing","0.6","62.7","9.8","-0.2","5.5","71.4","7.6","53.9","-8.5","-0.8","No","Catch Basin","None"
"POINT (-73.99460505810536 40.70005683416911)","1106955","14874","CRANBERRY STREET","2018-04-23T00:00:00.000","3","WILLOW STREET","CRANBERRY STREET","0.7","8.1","Missing","6.7","52.7","49.0","4.9","-5.0","52.3","12.2","43.6","-4.6","10.3","No","None","None"
"POINT (-73.90194027801074 40.75746521936973)","1181597","16073","61 STREET","2018-03-19T00:00:00.000","4","31 AVENUE","61 STREET","0.5","15.1","Missing","-0.4","44.0","60.0","-5.2","-4.5","48.1","13.0","43.3","-15.6","-3.7","Yes","None","None"
"POINT (-73.88956276069823 40.82508717825853)","1005982","760","EAST 165 STREET","2018-03-20T00:00:00.000","2","FAILE STREET","EAST 165 STREET","0.3","5.1","Missing","3.3","49.2","60.0","1.9","-3.7","52.5","5.9","69.3","-1.0","3.1","No","None","None"
"POINT (-74.00532466805923 40.719845874677475)","1171054","26798","WALKER STREET","2018-05-28T00:00:00.000","1","AVENUE OF THE AMERICAS","WALKER STREET","0.5","6.0","Missing","-2.2","51.8","60.0","-4.0","-5.4","53.7","15.8","56.6","-15.9","-0.5","No","None","Utility access"
"POINT (-73.91497382767952 40.82227533314338)","1002973","36575","MELROSE AVENUE","2018-04-01T00:00:00.000","2","EAST 158 STREET","MELROSE AVENUE","0.7","1.8","Good Condition","0.4","39.2","60.0","-0.2","-4.3","42.3","10.3","55.3","-5.1","1.8","No","None","None"
"POINT (-73.82565607840667 40.68136167018874)","1045071","20816","115 STREET","2018-04-24T00:00:00.000","4","115 STREET","109 AVENUE","0.4","4.7","Good Condition","0.7","48.8","54.0","0.8","-4.1","45.2","11.8","62.4","-9.8","0.2","No","Utility access","None"
"POINT (-73.88348836177974 40.7055359304703)","1030845","23044","69 PLACE","2018-05-10T00:00:00.000","4","69 PLACE","70 AVENUE","0.3","8.2","Missing","0.6","47.4","60.0","1.8","-6.2","47.1","25.1","57.4","-17.6","4.1","Yes","None","None"
"POINT (-73.8835975134888 40.81047811446876)","1003068","1481","LONGFELLOW AVENUE","2018-03-27T00:00:00.000","2","OAK POINT AVENUE","LONGFELLOW AVENUE","0.5","5.0","Missing","0.1","48.3","60.0","-1.9","-4.3","48.9","6.5","59.1","-6.6","-0.8","Yes","None","None"
"POINT (-73.93168890353064 40.65382705461391)","1119971","6510","EAST 49 STREET","2018-04-13T00:00:00.000","3","EAST 49 STREET","LINDEN BOULEVARD","1.4","7.5","Missing","-6.1","64.7","49.0","-0.8","-6.8","54.1","3.0","68.9","-14.8","-3.9","No","None","None"
"POINT (-73.94696895276797 40.65270353999369)","1120018","5010","LINDEN BOULEVARD","2018-04-17T00:00:00.000","3","LINDEN BOULEVARD","NEW YORK AVENUE","0.4","6.4","Missing","-1.3","41.1","60.0","4.5","-3.6","38.4","8.0","52.8","-6.1","0.1","No","None","None"
"POINT (-74.17272807510528 40.545567756563635)","1156961","19024","RYE AVENUE","2018-05-02T00:00:00.000","5","RYE AVENUE","POMPEY AVENUE","1.2","6.2","Good Condition","-5.0","44.4","57.5","-1.7","-1.1","43.8","15.9","38.8","-28.7","-2.3","No","None","None"
"POINT (-73.9906273515825 40.57846100376659)","1133899","34812","NEPTUNE AVENUE","2018-05-26T00:00:00.000","3","NEPTUNE AVENUE","WEST 23 STREET","0.9","5.4","Good Condition","-0.7","50.0","60.0","-2.8","-3.3","47.3","12.2","60.6","-10.2","-0.7","No","None","None"
"POINT (-73.8794876316001 40.66857744808876)","1116036","12522","SHEPHERD AVENUE","2018-05-07T00:00:00.000","3","DUMONT AVENUE","SHEPHERD AVENUE","0.8","12.5","Missing","-0.3","46.8","60.0","2.3","-7.0","45.5","31.3","48.8","-20.1","3.2","No","None","None"
"POINT (-73.86928446133817 40.74739011774826)","1025166","28496","41 AVENUE","2018-04-07T00:00:00.000","4","41 AVENUE","WARREN STREET","0.3","7.5","Good Condition","-1.6","50.0","60.0","-0.6","-4.4","46.4","16.0","58.5","-25.3","-1.8","No","None","None"
"POINT (-73.99230101881614 40.61388452713266)","1136420","34648","19 AVENUE","2018-05-21T00:00:00.000","3","72 STREET","19 AVENUE","0.8","7.2","Missing","-0.3","40.2","60.0","-2.9","-10.1","42.8","12.3","50.8","-15.3","-4.0","No","None","None"
"POINT (-73.88165849611244 40.8073822682388)","1005230","1168","WHITTIER STREET","2018-03-27T00:00:00.000","2","WHITTIER STREET","VIELE AVENUE","0.6","4.3","Missing","0.9","54.7","60.0","0.5","-0.4","52.2","7.4","56.3","-4.3","2.0","No","None","None"
"POINT (-73.92019818241712 40.80282712496286)","1004514","1229","EAST 132 STREET","2018-03-26T00:00:00.000","2","ST ANNS AVENUE","EAST 132 STREET","1.1","5.0","Good Condition","-0.4","48.5","60.0","-1.9","4.5","48.3","5.6","54.1","-9.6","-1.0","No","None","Utility access"
"POINT (-73.85020466039678 40.71137031202914)","1034562","22753","NANSEN STREET","2018-05-10T00:00:00.000","4","NANSEN STREET","71 AVENUE","1.0","6.3","Missing","-1.1","56.4","60.0","0.6","-4.0","60.1","9.1","47.1","-12.8","-0.5","No","None","None"
"POINT (-74.12992281886446 40.57587603336975)","1147745","10294","MC CULLY AVENUE","2018-03-17T00:00:00.000","5","MC CULLY AVENUE","ST ANDREWS ROAD","0.7","5.9","Missing","2.3","47.0","60.0","1.8","-6.0","48.6","22.9","47.7","-5.4","4.5","No","None","None"
"POINT (-74.00026821561924 40.57305766796406)","1133973","30817","WEST 35 STREET","2018-05-26T00:00:00.000","3","SURF AVENUE","WEST 35 STREET","0.6","2.9","Missing","-1.9","49.4","60.0","3.4","4.8","48.1","7.4","54.2","-11.5","-1.7","No","None","None"
"POINT (-73.96926885459575 40.696009370142406)","1106422","14819","PARK AVENUE","2018-04-18T00:00:00.000","3","PARK AVENUE","BROOKLYN QUEENS EXPRESSWAY","1.0","6.9","Good Condition","0.0","49.7","60.0","1.0","11.1","53.9","8.6","59.1","-7.7","-1.5","No","None","None"
"POINT (-73.95480757363224 40.70691663401585)","1105775","22528","DIVISION AVENUE","2018-03-28T00:00:00.000","3","DIVISION AVENUE","HARRISON AVENUE","1.7","7.6","Missing","1.3","59.4","60.0","1.8","4.5","61.1","11.8","66.9","-10.4","1.9","No","None","None"
"POINT (-73.95369172256798 40.7753930440602)","1096593","8140","2 AVENUE","2018-04-08T00:00:00.000","1","2 AVENUE","EAST 82 STREET","1.1","8.8","Good Condition","2.5","49.2","60.0","1.3","0.2","48.9","9.8","45.6","-1.6","2.7","No","None","Utility access"
"POINT (-73.97826092023038 40.78810740492007)","1091145","8075","WEST 85 STREET","2018-08-06T00:00:00.000","1","WEST 85 STREET","WEST END AVENUE","0.5","1.6","Missing","-5.1","61.4","60.0","-7.3","-4.2","50.3","1.2","60.5","-9.7","-3.7","No","None","None"
"POINT (-73.91370957284062 40.80684140687001)","1004685","473","CYPRESS AVENUE","2018-03-25T00:00:00.000","2","CYPRESS AVENUE","EAST 140 STREET","0.3","9.0","Missing","4.6","51.1","60.0","3.8","-3.2","38.9","10.1","42.5","-7.2","5.6","No","None","None"
"POINT (-73.7786760065906 40.732261847160295)","1067760","25954","75 AVENUE","2018-04-13T00:00:00.000","4","193 STREET","75 AVENUE","0.7","2.9","Missing","-0.4","50.4","60.0","-1.7","-5.3","53.6","4.9","48.9","-6.6","0.6","No","None","None"
"POINT (-73.84637623687102 40.69760368992516)","1041052","20250","102 STREET","2018-04-24T00:00:00.000","4","102 STREET","85 ROAD","0.7","6.0","Good Condition","-4.4","48.9","60.0","-4.5","-4.7","42.8","8.9","59.4","-29.3","-6.3","No","None","None"
"POINT (-73.91834973044902 40.849381395597966)","1007694","31712","WEST 176 STREET","2018-04-11T00:00:00.000","2","ANDREWS AVENUE SOUTH","WEST 176 STREET","1.1","11.6","Missing","4.9","29.2","60.0","4.1","-0.5","25.2","18.8","39.5","-16.5","6.9","No","None","None"
"POINT (-73.94173924571736 40.5937434147131)","1131893","7489","AVENUE X","2018-05-11T00:00:00.000","3","AVENUE X","EAST 29 STREET","0.6","6.3","Good Condition","0.3","48.6","58.2","0.0","-6.5","49.0","4.0","37.1","-2.2","1.9","No","None","None"
"POINT (-74.1690147128804 40.546803904570986)","1156918","36686","PETRUS AVENUE","2018-05-02T00:00:00.000","5","WAINWRIGHT AVENUE","PETRUS AVENUE","0.2","6.4","Missing","-3.0","51.5","48.2","-1.6","-7.5","52.2","5.4","42.7","-7.5","-2.5","No","None","None"
"POINT (-73.96270961522521 40.647050449147066)","1126016","3027","ALBEMARLE ROAD","2018-04-20T00:00:00.000","3","EAST 18 STREET","ALBEMARLE ROAD","0.6","1.9","Good Condition","1.2","52.0","60.0","-0.5","-6.6","51.1","11.3","59.4","-8.7","1.8","No","None","None"
"POINT (-73.99179577497765 40.71865065782715)","1086299","26866","BROOME STREET","2018-05-25T00:00:00.000","1","ELDRIDGE STREET","BROOME STREET","0.3","8.7","Missing","-0.3","45.0","60.0","-4.7","-7.4","43.7","8.4","53.2","-10.8","-2.0","No","None","None"
"POINT (-73.87130050049254 40.73941681394744)","1025981","28593","52 AVENUE","2018-05-08T00:00:00.000","4","92 STREET","52 AVENUE","0.3","11.5","Missing","0.0","33.4","60.0","-1.7","-3.4","36.9","12.1","38.7","-15.2","-2.3","No","None","Utility access"
"POINT (-74.00782214968648 40.62326014755)","1137681","26087","12 AVENUE","2018-04-21T00:00:00.000","3","12 AVENUE","72 STREET","1.2","2.0","Missing","-2.5","54.7","52.3","-1.7","-6.4","52.1","1.5","65.3","-10.4","-3.0","No","None","None"
"POINT (-73.9477377402475 40.661661043041974)","1118552","5431","NEW YORK AVENUE","2018-04-13T00:00:00.000","3","EAST NEW YORK AVENUE","NEW YORK AVENUE","0.5","13.3","Missing","-0.7","56.2","60.0","-1.3","-8.3","48.0","26.4","53.6","-33.8","-4.3","No","None","None"
"POINT (-73.8418322522077 40.8634886755487)","1003892","13443","FIELDING STREET","2018-05-18T00:00:00.000","2","WOODHULL AVENUE","FIELDING STREET","0.4","7.9","Missing","0.4","51.6","36.1","0.8","-2.3","52.6","11.0","51.2","-11.1","1.2","No","None","None"
"POINT (-73.85758584571485 40.85269140606204)","1019505","7134","NEILL AVENUE","2018-04-11T00:00:00.000","2","HONE AVENUE","NEILL AVENUE","0.4","6.4","Missing","0.5","44.8","58.1","0.1","-6.5","45.7","10.3","52.3","-10.2","-0.9","No","None","None"
"POINT (-73.99425182471396 40.60490407058762)","1136397","29599","21 AVENUE","2018-05-23T00:00:00.000","3","83 STREET","21 AVENUE","0.9","6.6","Missing","1.3","39.3","60.0","0.3","-6.2","44.8","11.1","47.8","-10.5","2.3","No","None","Utility Vault"
"POINT (-73.89990660942503 40.73482424319886)","1033059","19761","MAURICE AVENUE","2018-05-08T00:00:00.000","4","MAURICE AVENUE","65 PLACE","0.7","6.6","Missing","-0.7","58.4","58.9","-0.1","-2.2","64.4","8.7","59.1","-11.0","0.7","No","None","None"
"POINT (-73.79139810904663 40.78068758162575)","1058998","22270","19 AVENUE","2018-04-26T00:00:00.000","4","202 STREET","19 AVENUE","0.7","10.8","Good Condition","-1.5","50.2","60.0","-3.0","-6.8","59.0","1.8","59.6","-11.7","-3.5","No","None","None"
"POINT (-73.97341446807049 40.74790434399097)","1090299","9622","EAST 39 STREET","2018-04-29T00:00:00.000","1","2 AVENUE","EAST 39 STREET","0.3","9.6","Missing","-2.8","49.0","60.0","0.4","-3.5","45.8","7.7","55.6","-9.8","-2.3","No","None","None"
"POINT (-73.85201410129137 40.84832827521538)","1019665","7359","HAIGHT AVENUE","2018-04-11T00:00:00.000","2","VAN NEST AVENUE","HAIGHT AVENUE","0.4","12.9","Missing","0.4","44.1","60.0","-1.1","0.9","42.1","21.1","54.2","-23.6","-0.1","No","None","None"
"POINT (-73.98843102557883 40.57843322774256)","1134048","29796","WEST 21 STREET","2018-05-26T00:00:00.000","3","NEPTUNE AVENUE","WEST 21 STREET","0.5","6.7","Good Condition","1.9","60.1","60.0","0.8","-1.9","59.5","11.9","59.8","-9.1","1.5","No","None","None"
"POINT (-73.80558169693681 40.68944084803937)","1051385","35925","SHORE AVENUE","2018-04-26T00:00:00.000","4","REMINGTON STREET","SHORE AVENUE","0.9","6.9","Missing","0.6","35.4","50.0","-2.1","0.6","39.9","8.2","48.4","-8.2","-1.1","No","None","None"
"POINT (-73.98223686596562 40.751462209195005)","1089691","9458","5 AVENUE","2018-05-01T00:00:00.000","1","5 AVENUE","EAST 39 STREET","1.8","9.7","Missing","-0.1","47.9","60.0","0.6","-6.5","47.2","18.4","49.7","-10.3","-0.2","Yes","None","None"
"POINT (-73.90079597472273 40.82020905502502)","1183621","33821","WESTCHESTER AVENUE","2018-04-09T00:00:00.000","2","WESTCHESTER AVENUE","EAST 161 STREET","0.5","14.6","Good Condition","-5.7","49.8","60.0","-2.6","-1.2","43.8","17.0","65.4","-23.6","-6.0","No","None","None"
"POINT (-73.88828466661711 40.848935465179345)","1009178","30234","EAST 181 STREET","2018-04-07T00:00:00.000","2","CROTONA AVENUE","EAST 181 STREET","0.8","3.3","Missing","-0.7","39.8","60.0","1.9","1.3","39.8","11.8","51.2","-7.7","-0.3","No","None","None"
"POINT (-73.90272790161471 40.85666115505845)","1170236","31505","EAST 182 STREET","2018-04-12T00:00:00.000","2","EAST 182 STREET","MORRIS AVENUE","0.4","6.7","Missing","-1.2","35.9","60.0","-4.3","-2.7","40.7","5.7","52.6","-34.8","-2.4","No","None","None"
"POINT (-73.80289491756884 40.727394394593965)","1068155","24776","166 STREET","2018-04-17T00:00:00.000","4","166 STREET","75 AVENUE","0.9","4.0","Missing","2.7","48.1","41.2","1.5","-6.5","49.0","13.0","71.7","-3.8","1.5","No","None","None"
"POINT (-73.9878910592602 40.64242243709398)","1128651","3019","12 AVENUE","2018-04-18T00:00:00.000","3","12 AVENUE","38 STREET","0.5","2.1","Missing","0.7","46.1","60.0","0.9","-5.2","46.2","7.4","52.5","-7.0","-0.2","No","None","None"
"POINT (-74.19519140225852 40.51986727412054)","1147242","19057","HYLAN BOULEVARD","2018-04-30T00:00:00.000","5","HYLAN BOULEVARD","HOLTEN AVENUE","0.4","3.1","Good Condition","-1.7","51.1","51.3","-3.0","-6.2","51.2","9.9","54.6","-16.6","-1.6","Yes","None","None"
"POINT (-73.86863188669106 40.747502514142084)","1025181","28320","41 AVENUE","2018-04-07T00:00:00.000","4","JUNCTION BOULEVARD","41 AVENUE","0.5","13.1","Missing","2.2","56.4","57.5","2.2","-5.8","49.0","28.2","57.7","-28.7","0.6","Yes","None","None"
"POINT (-73.80637555633561 40.74040157389376)","1055942","25368","59 AVENUE","2018-04-12T00:00:00.000","4","162 STREET","59 AVENUE","0.8","5.8","Missing","-0.8","55.2","43.6","-0.8","-1.8","54.7","11.2","64.7","-7.3","-0.8","No","None","None"
"POINT (-73.88847577972989 40.823176419778505)","1005606","1366","BRYANT AVENUE","2018-03-20T00:00:00.000","2","ALDUS STREET","BRYANT AVENUE","0.5","4.8","Good Condition","-2.3","47.4","60.0","0.0","-1.8","47.3","17.4","58.3","-14.2","-2.5","No","None","None"
"POINT (-73.85972048958703 40.828594302006174)","1016352","4626","VIRGINIA AVENUE, WATSON AVENUE","2018-05-23T00:00:00.000","2","VIRGINIA AVENUE","WATSON AVENUE","1.1","5.3","Good Condition","-1.3","47.3","60.0","-3.6","0.5","48.0","7.9","58.2","-12.8","-1.4","No","None","None"
"POINT (-73.95405847177753 40.59700874776952)","1132952","3973","EAST 17 STREET","2018-05-14T00:00:00.000","3","AVENUE V","EAST 17 STREET","0.9","5.2","Missing","-2.8","43.7","58.3","-3.2","-8.8","48.3","6.4","49.7","-22.1","-0.5","No","None","None"
"POINT (-73.98746109583917 40.77041911401286)","1087935","9683","WEST 59 STREET","2018-04-08T00:00:00.000","1","AMSTERDAM AVENUE","WEST 59 STREET","0.7","7.1","Missing","-1.1","50.6","60.0","-1.2","-6.9","74.4","6.1","59.1","-10.6","-1.5","No","None","None"
"POINT (-73.78666103901055 40.69306535562781)","1142998","20053","164 PLACE","2018-04-29T00:00:00.000","4","164 PLACE","110 ROAD","0.6","9.0","Missing","-0.9","60.5","49.6","-0.6","5.7","43.8","18.5","49.9","-14.3","-0.1","No","None","None"
"POINT (-73.92980604823144 40.815202531916434)","1020909","30","WALTON AVENUE","2018-03-26T00:00:00.000","2","WALTON AVENUE","EAST 140 STREET","0.8","10.0","Missing","2.8","51.5","60.0","4.2","-7.0","43.7","28.1","45.2","-25.1","4.4","Yes","None","None"
"POINT (-73.8803243181732 40.74591209600408)","1025252","32079","HAMPTON STREET","2018-04-07T00:00:00.000","4","BRITTON AVENUE","HAMPTON STREET","0.4","7.5","Missing","2.6","46.1","60.0","-0.4","-4.1","48.8","10.1","54.7","-8.4","1.9","No","None","None"
"POINT (-73.83278724653691 40.76667371865372)","1140942","21117","33 AVENUE","2018-08-29T00:00:00.000","4","FARRINGTON STREET","33 AVENUE","1.0","14.9","Good Condition","-0.6","54.5","60.0","2.8","0.2","49.7","17.3","43.5","-20.5","0.1","Yes","None","None"
"POINT (-74.09803557748529 40.59031144343696)","1151889","10275","GARRETSON AVENUE","2018-04-07T00:00:00.000","5","GARRETSON AVENUE","JEFFERSON STREET","0.5","4.8","Missing","2.8","48.0","60.0","6.5","-4.4","43.2","11.7","47.8","-4.5","2.7","No","None","None"
"POINT (-73.88339984524936 40.75566236531524)","1027904","36624","NORTHERN BOULEVARD","2018-04-07T00:00:00.000","4","84 STREET","NORTHERN BOULEVARD","0.4","5.3","Good Condition","-0.1","49.6","60.0","-3.5","-5.3","47.2","11.3","59.2","-26.8","-1.7","No","None","Utility access"
"POINT (-73.73953057253088 40.73717076869841)","1080102","18924","UNION TURNPIKE","2018-04-29T00:00:00.000","4","UNION TURNPIKE","232 STREET","1.0","11.7","Missing","6.3","70.5","52.5","6.8","-3.1","73.1","18.9","57.2","-1.4","6.3","No","None","None"
"POINT (-73.94235155305591 40.82206409732176)","1093715","13846","FREDERICK DOUGLASS BOULEVARD","2018-04-28T00:00:00.000","1","WEST 144 STREET","FREDERICK DOUGLASS BOULEVARD","0.4","3.0","Missing","-2.8","37.6","60.0","0.6","-1.8","38.4","7.0","51.2","-16.4","-1.5","No","None","None"
"POINT (-73.96615065690644 40.59449373794788)","1134847","30800","GRAVESEND NECK ROAD","2018-05-29T00:00:00.000","3","EAST 5 STREET","GRAVESEND NECK ROAD","0.6","5.3","Missing","1.6","58.4","60.0","1.7","-3.9","50.5","15.2","51.4","-5.4","3.3","No","None","None"
"POINT (-73.81693283200129 40.707944078845024)","1041684","27341","86 AVENUE","2018-04-15T00:00:00.000","4","86 AVENUE","139 STREET","0.9","6.9","Missing","-3.4","40.1","60.0","-7.4","-8.1","36.4","1.1","64.1","-11.3","-7.7","Yes","None","None"
"POINT (-73.97235313120561 40.69612768367128)","1107111","14979","BROOKLYN QUEENS EXPRESSWAY, PARK AVENUE","2018-04-18T00:00:00.000","3","BROOKLYN QUEENS EXPRESSWAY","PARK AVENUE","1.3","3.7","Defective","2.2","48.5","60.0","1.3","9.2","50.3","11.6","62.8","-8.7","0.3","No","None","None"
"POINT (-73.91777965571158 40.840349743247025)","1024149","30254","WEST 170 STREET","2018-04-05T00:00:00.000","2","WEST 170 STREET","JEROME AVENUE","0.6","12.2","Missing","-1.4","44.1","60.0","-3.6","-7.1","44.0","21.0","47.7","-23.9","-3.8","No","None","None"
"POINT (-74.00030416342337 40.640815901978826)","1128469","28631","48 STREET","2018-04-20T00:00:00.000","3","9 AVENUE","48 STREET","0.5","5.2","Missing","-0.7","64.3","60.0","1.7","-2.2","68.1","15.8","63.9","-8.9","0.5","No","None","None"
