"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"Bartel-Pritchard Circle War Memorial","Bartel-Pritchard Circle War Memorial","80","Y","Brooklyn","Prospect Park","B003","19","39","Prospect Park West and Prospect Park Southwest","Y","1965","ca. 1965","Stele","H: 8'1"" W: 4'11¾"" D: 1'5¼""",,"Black granite (polished), inscription--gold leaf",,,,"Allen Blaustein","Patrick J. Devaney Post No. 964, Veterans of Foreign Wars of the United States",,,,,"Y",,,,"War Memorial, All Wars, World War I, World War II",,"989835.9943934679","180099.43184572458"
"Bartow-Pell Mansion","Bartow-Pell Mansion","81","N","the Bronx","Pelham Bay Park","X039","0","13","Inside Bartow-Pell Mansion, Shore Rd.","Y","March 27,1941",,"Oval picture frame with segment of 'Pell Tree'","H: 10"" W: 14"" D:3""",,"Wood, glass, cardboard",,,,,"Mr. & Mrs. Wm. R. Montgomery",,,,,,,,,,,,
"Bernard M. Baruch Memorial","Baruch, Bernard Mannes","83","Y","Manhattan","Baruch Playground","M165","3","2","Bust on loan to Bellevue Hospital, 462 1st Avenue, New York, NY 10010","L","August 19, 1953","1953","Bust on pedestal on stele on platform","Bust H: 2'2""; Pedestal H: 4'4"" W: 1'6"" D: 1'3""; Stele H: 7'6"" W: 4'10""; Platform W: 6'2"" D: 4'2""",,"Bust--bronze; Pedestal, stele, and platform--black granite",,,"Rudolph Evans",,,,,,,"Y",,,,"Sculpture, Business Leader, Civic Leader",,"990715.7370565534","200526.85818240047"
"Bernard M. Baruch Plaque","Baruch, Bernard Mannes","84","Y","Manhattan","Park at St. James Place and Oliver Street","M247","3","1",,"M","1965","1965","Plaque on wall over bench","H: 1' W: 1'6""",,"Bronze",,"U.S. Bronze Sign Company",,,"Gift",,,,,,,,,,,,
"Dr. Simon Baruch Bath House War Memorial Plaque","Baruch, Simon","85","Y","Manhattan","Randalls Island Park","M104","11","22","In storage","S","1952","ca. 1948","Plaque","H: 1'8"" W: 1'4""",,,,,,,"Dr. Simon Baruch Chapter, American Veterans Committee",,,,,,,,,"World War II, War Memorial",,,
"Dr. Simon Baruch Bath House Plaque","Baruch, Simon","86","Y","Manhattan",,"M263","6","4","On loan to Bellevue Hospital, 462 1st Avenue, New York, NY 10010","L","1940","1939","Plaque with relief medallion","H: 1'10"" W: 3'5""",,"Bronze","Federal Brass & Bronze Company, New York",,,"Werner & Windolph","Gift",,,,,,,,,,,,
"Battery Park Cannon","Battery Park Cannon","88","Y","Manhattan","Battery Park","M005","1","1","Perimeter of park on State Street between Bridge and Pearl Streets","Y","1914","ca. 1914","Cannon on base, plaque","H: 2'9"" W: 4' D: 1'2""",,"Cannon--iron; base--granite; plaque--aluminum",,,,"J.V. & R.V. Lamb","William Henry Mairs; Children of the City History Club",,,"Revolutionary War Cannon",,"Y",,,,"War Memorial, Revolutionary War",,"980226.0487183928","195666.44434681535"
"Battery Park Cannon","Battery Park Cannon","88","Y","Manhattan","Battery Park","M005","1","1","Perimeter of park on State Street between Bridge and Pearl Streets","Y","1914","ca. 1914","Cannon on base, plaque","H: 2'9"" W: 4' D: 1'2""",,"Cannon--iron; base--granite; plaque--aluminum",,,,"J.V. & R.V. Lamb","William Henry Mairs; Children of the City History Club",,,"Revolutionary War Cannon",,"Y",,,,"War Memorial, Revolutionary War",,"980226.0487183928","195666.44434681535"
"Battery Park Underpass Marker","Battery Park Underpass Marker","89","N","Manhattan","Battery Park","M005","1","1","entrance to Brooklyn-Battery Tunnel, Whitehall and South Streets","Y","1951","ca. 1951","plaque on exterior wall","h 2'5¾"" x w 3'6"" x d 1""",,"bronze","U.S. Bronze Sign Company, NY",,,,"purchase",,,,,,,,,,,,
"East Side War Memorial","East Side War Memorial","90","N","Manhattan","Alfred E. Smith Park","M194","3","1","Recreation Center","M","1921","ca. 1921","Stele with plaque","H: 9'7"" W: 2'6"" D: 2' (approximate)",,"Deer Isle granite, bronze",,,,"Charles W. Stoughton and Arthur A. Stoughton","Community Memorial Committee of the Lower East Side",,,,,,,,,"Soldier, War Memorial, World War I",,,
"Battle Pass Historic Marker","Battle Pass Historic Marker","91","Y","Brooklyn","Prospect Park","B073","0","39","West side of East Drive, north of entrance to Prospect Park Wildlife Center","Y","1929; rededicated ca. 1991","1991","Plaque mounted on boulder","H: 1'4¼"" W: 2'5""",,"Bronze, granite","Original plaque--Pitbladdo Monument Works, Inc., 242 25th Street, Brooklyn, NY; replacement plaque--U.S. Bronze, Hyde Park, NY",,,,"Battle Pass Chapter, Daughters of the American Revolution",,,,,"Y",,,"200.00","Revolutionary War, War Memorial",,"993332.0576113015","182060.72516722977"
"Colonel William Baxter",,"92","N","Manhattan",,,"12","10","GEORGE WASHINGTON HIGH SCHOOL; audubon ave at 192nd st","Y","June 23, 1923",,"tablet on natural boulder","3'3""h x 1'11""w",,"bronze",,,,,"manhattan chapter d.a.r.",,,,,,,,,,,,
"Bayside Civil War Boulder","Bayside Civil War Boulder","93","Y","Queens","Captain William C. Dermody Square","Q316","11","19","216 Street and 48 Avenue","Y","Boulder 1935; Plaque 1973","1935","Boulder and plaque (missing)","Boulder H: 5' W: 3' D: 4'; Plaque H: 1'8"" W: 1'3"" D: 3/8""",,"Granite, bronze","U.S. Bronze Sign Company, NY",,,,"Plaque--Bayside Historical Society",,,"Captain William C. Dermody",,"Y",,,,"Civil War, War Memorial",,"1049504.9439529777","214725.81469255686"
"Bayside Hills Memorial Flagstaff","Bayside Hills Memorial  Flafstaff","94","Y","Queens","Bell Boulevard Malls","Q268","11","19","Bell Blvd., 215th Street and 53rd Avenue","Y","1942 & 1949",,"3 plaques on concrete flagstaff","Iron: 7""H  10""W  1/4""D; Bronze 12""H  20""W  1/2""D",,"Wood pole, bronze & iron plaques",,,,,"Bayside Hills Civic Association",,,,,"Y",,,,"World War II, War Memorial",,"1049485.2369713932","213478.02683381736"
"Bayside War Memorial","Bayside War Memorial","95","N","Queens","Clearview Expressway","Q387","7","19","Northern Boulevard and Clearview Expressway; 41 Avenue and 213 Street; North side of station","Y","1925","ca. 1925","Obelisk","H: 24'",,"Marble, granite",,,,"William Welles Knowles","$7,500 ; citizens of Bayside",,,,,,,,,"War Memorial, World War I",,,
"Honey Bear","Honey Bear","97","Y","Manhattan","Central Park","M010","7","6","Central Park Zoo; in exterior wall niche at northeast corner of zoo near Delcorte Clock","Y","May 17, 1937","ca. 1937","Fountain figure on ornamented integral plinth","H: 6'6""","CPC","Bronze",,,"Frederick George Richard Roth",,,,,,,"Y",,,,"Sculpture, Animal: other",,"992218.3085264713","219153.33798973262"
"Stuyvesant Square War Memorial","Stuyvesant Square War Memorial","98","Y","Brooklyn","Beattie Triangle","B006","3","34","Plaque in storage at 5Boro","S","January 26, 1925","ca. 1925","Gun, plaque on plinth",,,"Gun--steel (?); Plaque--bronze; Plinth--limestone",,,,,"Joseph S. Beattie Post No. 310, Veterans of Foreign Wars of the United States",,,,,,,,,"World War I, War Memorial",,,
"Beauty","Beauty","99","O","Manhattan","Bryant Park","M008","5","3","New York Public Library, 5th Avenue façade, fountain niche south of main entrance","Y","1921","ca. 1920","Female figure (heroic scale) installed on fountain","H:10' W: 6' D: 4'",,"Carrara marble (dull finish)",,,"Frederick William MacMonnies; Gozo Kawamura","Thomas Hastings; Carrere & Hastings",,,,,,,,,,"Allegorical, Sculpture",,"989248.0172229707","213542.91515547037"
"Bedford & Division Sts Fountain",,"100","N","Brooklyn","Harold W. Cohn Memorial Square","B115","1","33","wynn circle","M",,,,,,"iron",,,,,,,,,,,,,,,,,
"Bedford Stuyvesant Community Pool Plaque","Bedford Stuyvesant community pool plque","101","Y","Brooklyn","Kosciusko Pool","B351","3","36","KOSCIUSZKO POOL; Marcy and Dekalb Avenue","N",,,"Plaque on exterior wall","L: 60"" H:18"" D: ¼""",,"Stainless steel",,,,,,,,,,,,,,,,,
"Henry Ward Beecher Monument","Beecher, Henry Ward","102","Y","Brooklyn","Columbus Park","B113C","2","33","Cadman Plaza near Johnson Street","Y","June 24, 1891","May 10, 1890","Standing figure (heroic scale) with integral plinth on pedestal with two steps, a standing female figure beside pedestal proper right and two child figures beside pedestal proper left","Beecher figure H: 7'6""; Pedestal H: 7' W: 10' D: 8'5""","MAS","Figures--bronze; Pedestal--Barre granite (polished)","Bonnard Bronze Co",,"John Quincy Adams Ward","Richard Morris Hunt","Public subscription","Y","$19,250; Broadway Church of Christ (Manhattan), Plymouth Church of the Pilgrims (Brooklyn), two of Beecher's descendents",,,"Y",,,,"Religious Leader, Civic Leader, Juvenile",,"986992.2120233029","192436.63912664354"
"Henry Rutgers Beekman",,"103","N","Manhattan",,,"1","1","COUNTY COURT HOUSE, RM 317; Foley Square, Centre Street between Pearl and Worth","Y","1900",,"plaque",,,"bronze",,,,"william f. beekman (?)","gift",,,,,,,,,,,,
"Belle Harbor Memorial Circle",,"106","Y","Queens","Memorial Circle on Rockaway Beach Boulevard between Beach 120th and Beach 121st Streets","Q259","14","32","Rockaway Beach Boulevard, 120th-121st Street","Y","1948",,"33 plaques on limestone plinths, trees","H: 22"" W: 26""",,"Bronze, deer isle granite",,,,,"Belle Harbor Garden Club",,,,,"Y",,,,"World War II, War Memorial",,"1028406.8601649702","150130.85825280845"
"Belvedere Tower","Belvedere Tower","109","Y","Manhattan",,"M010","7","6",,"Y","1871",,,,,,,,,,,,,,,,,,,,,"992802.3844580501","223265.03645922244"
"Benninger Plaque","Benninger Plaque","111","Y","Queens","Albert C. Benninger Playground","Q038","5","30","Madison St., Fresh Pond Rd. and 60th Pl.","M","1937",,"Plaque","H: 3'1"" W: 2'6""",,"Bronze","U.S. Bronze Co.",,,,"Friends of Benninger",,,,,,,,,,,"1042178.3995509744","192573.65591298044"
"Bensonhurst Park Flagstaff","Bensonhurst Park Flagstaff","112","Y","Brooklyn","Bensonhurst Park","B007","11","47","Flagpole Base; Shore Pkwy., Bay Pkwy. and Cropsey Avenue","N",,,"Honor roll",,,"Bronze",,,,,,,,,,,,,,"War Memorial, World War II",,,
"Berkson, Seymour",,"113","N","Manhattan",,,"5","3","42nd st, 155' west of 5th Avenue","Y","1960",,"plaque on concrete plinth, trees","9¾""h x 13½""w",,"bronze, concrete","forman bronze co",,,,"albert & mary lasker fdnt $110",,,,,,,,,,,,
"Bethesda Fountain","Bethesda Fountain","114","Y","Manhattan","Central Park","M010","7","6","Bethesda Terrace","Y","May 31, 1873","ca. 1873","Fountain with two basins, upper basin surmounted by angel figure (heroic scale), four putti (life size) between upper and lower basins, in a circular pool","H: 25'; Diameter of lower basin 15'; Diameter of pool 96'","CPC","Figures--bronze, Lower basin--blue stone; Pool--Westerly granite (polished)","Ferdinand von Muller,","Royal Foundry, Munich","Emma Stebbins",,"City of New York",,,"Angel of the Waters",,"Y",,,"53945.00","Sculpture, Allegorical, Women",,"992326.8788473904","221380.3952153921"
"Bethesda Fountain and Terrace","Bethesda Fountain and terrace","115","Y","Manhattan","Central Park","M010","7","6","North of mall, west wall, east stairs","Y","1965",,"Plaque","H: 15"" W: 23""",,"Bronze",,,,,"NY Community Trust",,,,,"Y",,,,,,"992292.3221579641","221257.03325739503"
"Betsy Head Fountain","Betsy Head Fountain","116","Y","Brooklyn","Betsy Head Park","B008","16","42","Douglas, Livonia, Tompkins, and Dumond Avenues","N","ca. 1917","ca. 1917","cherub figure reclining on back of a seal accompanied by another seal; plaque","plaque h 3' 23/4"" x w 2' 3/4"" x d 1 1/8""",,"bronze","Henry-Bonnard,  Mount Vernon, NY",,"Louis Saint-Lanne","H. B. Hertz","$12,000; Mrs. Isaac L. (Julia) Rice",,,,,,,,,,,,
"Bird Bath","Bird Bath","117","Y","Manhattan","City Hall Park","M013","1","1","East of City Hall, on lawn","Y",,,"Cast stone bird bath",,,"Cast stone",,,,,,,,,,"Y",,,,,,"982836.1425795555","199018.34184247255"
"Bird Flying Machine","Bird Flying Machine","118","Y","Manhattan","Central Park","M010","7","6","Arsenal South Roof, southwest corner facing southwest turret","Y","1991","1973","Figure on integral plinth","Figure H: 2'9"" W: 4'; weight: 130 pounds",,"Bronze","Modern Art Foundry",,"Dolly Hellman Perutz",,"Tino Perutz",,,,,"Y",,,,"Sculpture, Abstract, Animal: other",,"992196.2675600499","218919.85387665033"
"Bischoff, Henry",,"119","N","Manhattan",,,"1","1","COUNTY COURT HOUSE, RM 216; Foley Square, Centre Street between Pearl and Worth","Y","1915",,"portrait plaque",,,"bronze",,,"george f. brewster","william wells bosworth","bench and bar of nyc",,,,,,,,,"Sculpture",,,
"Blackwell Homestead","Blackwell Homestead","120","O","Manhattan",,,"8","5","Roosevelt Island","Y","ca. 1789",,,,,,,,,,,,,,,,,,,"Colonial",,,
"Lillie Deverux Blake",,"121","N","Manhattan",,,"0","0",,"M",,,,,,,,,,,,,,,,,,,,,,,
"Blazed and Willowbrook Roads Tablet",,"122","Y","Staten Island",,"RZ045","1","49","Blazed and Willowbrook Roads and Victory Boulevard","Y","1921",,"Plaque on stele","Plaque H: 1'2"" W: 1'4""; Stele H: 3'3"" W: 2' D: 1'1""",,"Bronze, Barre granite",,,,,"Staten Island Chapter, Daughters of the American Revolution",,,,,"Y",,,,"Colonial, Revolutionary War",,,
"Blockhouse","Blockhouse","123","Y","Manhattan","Central Park","M010","7","6","110th Street","N","1905",,"Plaque",,,"bronze","John Williams & Co, Founders",,,,"Am. Scnic & Hist. Pres. Soc.",,,,,,,,"$90","War Memorial, War of 1812",,,
"Blockhouse Plaque","Blockhouse Plaque","124","Y","Manhattan","Morningside Park","M056","9","9","MORNINGSIDE PARK; Morningside Ave. at 123rd St.","M","1904",,"plaque",,,"bronze, granite","j. & r. lamb",,,,"gift, $80.",,,,,,,,,"War Memorial, War of 1812",,"995584.8966095597","232921.25271105766"
"Susan E. Blow",,"125","N","Brooklyn",,,"8","36","TEACHERS TRAINING SCHOOL; Nostrand Avenue and Park Place","Y","1918",,"plaque",,,"bronze",,,"B. Lillian Liuk",,"gift, $500.",,,,,,,,,"Sculpture",,,
"Boar","Boar Fountain","126","Y","Manhattan","Sutton Parks","M108P","6","5","East 57th St & East River (east of Sutton Place)","Y","Spring 1972","ca. 1972","Boar (life size) on pedestal with a basin","Pedestal H: 2' W: 5'6""  L: 6'10""","Salute to the Seasons","Boar--bronze; Pedestal--granite",,"Pedestal: A. Ottavino Corp.",,"Ann Butter, Levine & Blumberg","Hugh Trumbull Adams",,,,,"Y",,,"$6,500","Animal: other, Sculpture",,"995305.5999240577","215116.63543322682"
"Board of Estimate",,"127","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Chambers and Centre Streets","Y","1912",,"relief",,,"Maine granite",,,"Adolph Alexander Weinman",,"purchase, $14,765.",,,,,,,,,"Sculpture",,,
"Loeb Boathouse Plaque","Loeb Boathouse Plaque","128","Y","Manhattan","Central Park","M010","7","6","Exterior wall of Loeb Boathouse, opposite The Rowers","Y","March 12, 1954; rededicated Spring 1968","1968","Plaque","H: 3'1¾"" W: 2'1""",,"Bronze",,,,,"Replacement--DPR",,,,,"Y",,,,,,"992943.9835842997","221740.2570284754"
"C. Bobbink Lambertus","Bobbink, lambertus, c.","129","O","the Bronx","Bronx Park","X002","14","12","ROSE GARDEN, BRONX PARK; Entrance on Pelham Parkway","M","1939",,"Plaque on natural boulder","H: 1'6"" W: 2'",,"Bronze",,,,,,,,,,,,,,,,,
"Bolivar Plaza Plaque","Bolivar Plaza Plaque","130","Y","Manhattan","Central Park","M010","7","6","Bolivar Plaza wall; Central Park South and 6th Avenue","Y","October 28, 1968",,"Plaque","H: 1' W: 2'",,"Bronze","Guild Craft","Installed by D&J Sign Erectors",,,"Bolivarian Society of the USA",,,,,"Y",,,,,,"990935.9954743087","218259.07665489614"
"Simon Bolivar",,"131","N","Manhattan",,,"12","7","HISPANIC SOCIETY MUSEUM; 155 St. and Broadway","Y",,,"small equestrian statue","24""h",,"bronze",,,"Gutzon Borglum",,"hispanic society",,,,,,,,,"Sculpture",,,
"Simon Bolivar Monument","Bolivar, Simon","132","Y","Manhattan","Central Park","M010","7","6","Central Park South and Avenue of the Americas","Y","April 19, 1921","1919","Equestrian statue (heroic scale) on pedestal with four coats of arms","Statue H: 13'6"" L: 13'; Pedestal H: 20'4"" L: 12'6"" W: 6'1""","CPC","Statue and coats of arms--bronze; Pedestal--black granite (polished)",,,"Sally Jane Farnham","Clarke & Rapuano","Government of Venezuela","Y","Central Park Conservancy",,,"Y",,,,"Sculpture, Civic Leader, Politcal Figure, Animal: equestrian, Politcal Figure",,"990956.6168241352","218238.8148843944"
"Edwin Booth",,"133","N","Manhattan",,,"6","2","GRAMERCY PARK; 20th and 21st Sts., facing Irving Pl.","Y","1918",,"portrait statue on pedestal","8'9""h",,"bronze and Conway granite",,,"Edmond T. Quinn",,"property of the players club",,,,,,,,,"Sculpture",,,
"Gettysburg Tablet",,"135","N","Brooklyn","Columbus Park","B113C","2","33","Brooklyn Borough Hall","Y","1909",,"Plaque on wall. Inscription of Gettysburg Address with bas-relief of Lincoln.",,,"Bronze","Gorham Co.",,,,"Purchase",,,,,,,,,"Civil War, War Memorial",,,
"Richmond War Memorial","Richmond War Memorial","136","N","Staten Island",,,"1","49","Borough Hall, south side, east of doorway","Y","1920","1920","Plaque with bas-relief of draped female figure and Richmond seal","H: 5'6"" W: 3'6""",,"Bronze","Jno  Williams,  Inc.",,"Albert Weinert",,"Citizens of the Borough",,,,,"N",,,"$1,000","War Memorial, World War I, Allegorical",,,
"Borough Hall World War I Tablets","Borough Hall World War I Tablets","137","Y","Brooklyn","Columbus Park","B113C","2","33","In front of New York State Supreme Court Bldg, at Montague and Court Sts","Y",,,"4 tree markers on recessed plinths",,,"Bronze, concrete",,,,,,,,,,"Y",,,,"World War I, War Memorial",,"987023.6223935485","191991.09277364612"
