"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.823768641798 40.58190736581695, -73.82367303522084 40.581936540242666, -73.82358207699865 40.58198065244175, -73.82350165483899 40.582038873080634, -73.82343706349181 40.58210861050062, -73.82339202345025 40.58218587841716, -73.82336794090469 40.58226598817679, -73.82336387109926 40.58234444381673))","115772","Q","433525441700462200","BEACH 102 LANE","DEAD END","SHORE FRONT PARKWAY","LINESTRING (1033254.1130000055 151796.85040000081, 1033281.0289999992 151659.28839999437, 1033314.2145999968 151489.68240000308, 1033313.1416999996 151461.09659999609, 1033306.5111999959 151431.89720000327, 1033294.0571999997 151403.7213999927, 1033276.1","8","GOOD","2002-11-04T00:00:00.000","209.811262692"
"MULTILINESTRING ((-73.82336387109926 40.58234444381673, -73.82348211197272 40.58281016125101))","115771","Q","433525462200465617","BEACH 102 LANE","SHORE FRONT PARKWAY","UNNAMED STREET","LINESTRING (1033281.0289999992 151659.28839999437, 1033314.2145999968 151489.68240000308, 1033313.1416999996 151461.09659999609, 1033306.5111999959 151431.89720000327, 1033294.0571999997 151403.7213999927, 1033276.1668000072 151378.27840000391, 1033253.8","8","GOOD","2002-11-04T00:00:00.000","172.822102985"
"MULTILINESTRING ((-74.1845171347811 40.59361853008269, -74.18415940568576 40.59392358938601))","4755","S","548040518510570298","SIMMONS LOOP","BEND","SIMMONS LANE","MULTILINESTRING ((933013.31939999759 155779.70319999754, 932910.91809999943 155665.77959999442), (933104.91699999571 155712.55120000243, 933005.33380000293 155601.619599998))","8","GOOD","2015-04-16T00:00:00.000","149.072578298"
"MULTILINESTRING ((-73.90565635845981 40.87770609956016, -73.90521710188169 40.8783132176563))","79702","X","214920243720271690","BROADWAY","KIMBERLY PLACE","VERVEELEN PLACE","LINESTRING (1010461.1805000007 259285.17540000379, 1010339.9469999969 259063.84720000625)","9","GOOD","2022-09-08T00:00:00.000","252.356362387"
"MULTILINESTRING ((-73.81385395815265 40.584223298385346, -73.81389513290645 40.58428334009508))","169775","Q","433140449890462200","BEACH 92 STREET","HOLLAND AVENUE","SHOREFRONT PARKWAY","LINESTRING (1035731.0669 152604.48669999838, 1035942.8411999941 152201.5150000006, 1035954.324300006 152179.66459999979)","8","GOOD","2022-09-14T00:00:00.000","24.6840346394"
"MULTILINESTRING ((-73.9097884586042 40.87467223139573, -73.90944041350761 40.87492895002573, -73.90909404142009 40.87518697011947, -73.9087493518402 40.875446285395896, -73.90840635189417 40.87570688957211))","270811","X","214920274890274910","BROADWAY","WEST 225 STREET","WEST 228 STREET","LINESTRING (1009588.3517999947 258326.08640000224, 1009213.2202000022 257944.88109999895, 1009065.4449999928 257811.26100000739)","8","GOOD","2023-02-02T00:00:00.000","536.850703645"
"MULTILINESTRING ((-74.09809366476009 40.58685065558694, -74.09879639238581 40.58630007647701))","11922","S","556715526150539706","ZOE STREET","DONGAN HILLS AVENUE","NAUGHTON AVENUE","LINESTRING (957004.349999994 153097.195600003, 956808.94040000439 152896.82520000637)","6","FAIR","2018-09-17T00:00:00.000","279.880704878"
"MULTILINESTRING ((-73.777320258944 40.78356871266687, -73.77653716074329 40.782438608090615))","99167","Q","435690406190406940","BELL BOULEVARD","18 AVENUE","23 AVENUE","LINESTRING (1045917.3584000021 224830.4619999975, 1046135.2738000005 224419.28020000458)","5","FAIR","2023-04-13T00:00:00.000","465.357490755"
"MULTILINESTRING ((-73.71481196908285 40.749084284024434, -73.7148583457369 40.749032736534105))","182635","Q","427284435780435780","260 STREET","BEND","BEND","MULTILINESTRING ((1063116.4407999963 212673.17360000312, 1063088.4160999954 212692.58300000429, 1063055.8735000044 212707.54039999843, 1063019.948300004 212716.66120000184, 1062982.2941000015 212718.98059999943, 1062944.8762000054 212714.19400000572, 106","9","GOOD","2021-06-16T00:00:00.000","22.7557918018"
"MULTILINESTRING ((-73.76240290104471 40.74943680100207, -73.76163637314927 40.74775271436415))","157260","Q","435690412040450290","BELL BOULEVARD","58 AVENUE","HORACE HARDING EXPRESSWAY","LINESTRING (1050096.7593999952 212431.04819999635, 1050102.2284000069 212414.929399997, 1050311.7949 211798.84479999542)","9","GOOD","2022-11-09T00:00:00.000","649.286728"
"MULTILINESTRING ((-73.76080084594217 40.74596218268221, -73.75998798184713 40.74427250372435))","156011","Q","435690413240413990","BELL BOULEVARD","64 AVENUE","67 AVENUE","LINESTRING (1050548.8483999968 211148.29160000384, 1050773.460800007 210532.0462000072, 1050821.2657999992 210395.45839999616)","7","FAIR","2022-11-09T00:00:00.000","655.515737635"
"MULTILINESTRING ((-73.75443550218533 40.60720177255366, -73.75413225997244 40.60810716962066))","62100","Q","435290436090456590","BEACH CHANNEL DRIVE","BIRDSALL AVENUE","NAMEOKE AVENUE","LINESTRING (1052435.0157999992 160591.94419999421, 1052518.2898000032 160922.03869999945)","9","GOOD","2022-11-08T00:00:00.000","340.436393487"
"MULTILINESTRING ((-73.8017251032021 40.586738860765244, -73.80176738749785 40.58707020111165))","184444","Q","432240460790462200","BEACH 74 STREET","ROCKAWAY BEACH BOULEVARD","SHOREFRONT PARKWAY","LINESTRING (1039237.0447999984 153876.28740000725, 1039270.9335999936 153611.79700000584, 1039285.7424000055 153480.73579999804, 1039309.1635999978 153224.2256000042, 1039321.1811999977 153103.53700000048, 1039323.7906000018 153079.74140000343)","8","GOOD","2022-12-02T00:00:00.000","121.285452057"
"MULTILINESTRING ((-73.80450125603146 40.589980643261576, -73.80452357389271 40.590290524094335))","288896","Q","432390435290457900","BEACH 77 STREET","BEACH CHANNEL DRIVE","NYCTA SUBWAY","LINESTRING (1038547.4655999988 154282.864199996, 1038541.0150000006 154395.74750000238)","9","GOOD","2023-05-22T00:00:00.000","113.06745624"
"MULTILINESTRING ((-73.70958046270941 40.7483423925375, -73.70953285190957 40.74831198829163))","182653","Q","427295415840465590","263 STREET","76 AVENUE","UNION TURNPIKE","LINESTRING (1064233.3545999974 212462.2160000056, 1064719.2295999974 212051.36059999466, 1064732.4580000043 212040.32719999552)","9","GOOD","2022-08-24T00:00:00.000","17.2257505579"
"MULTILINESTRING ((-74.08789660955398 40.64080539233807, -74.0879522309011 40.640464845597506))","14012","S","556600521460570248","YORK AVENUE","CARLYLE STREET","PAUW STREET","LINESTRING (959912.16560000181 173196.6332000047, 959856.3192999959 172751.29940000176, 959840.75830000639 172627.244599998)","8","GOOD","2023-05-01T00:00:00.000","125.026949593"
"MULTILINESTRING ((-73.7055746881832 40.73792335829789, -73.70510437135935 40.73664518290521))","102937","Q","427295444240449690","263 STREET","EAST WILLISTON AVENUE","HILLSIDE AVENUE","LINESTRING (1065841.9011999965 208259.10119999945, 1065973.8038000017 207793.8628000021)","9","GOOD","2022-08-24T00:00:00.000","483.575293745"
"MULTILINESTRING ((-74.11733596042973 40.571687374602206, -74.11850993861567 40.57046972157017))","10520","S","557700517730545670","8 STREET","BEACH AVENUE","ROSS AVENUE","LINESTRING (951652.37919999659 147579.41159999371, 951325.63120000064 147136.23000000417)","9","GOOD","2022-09-20T00:00:00.000","550.612555315"
"MULTILINESTRING ((-73.76126566461056 40.74728025064228, -73.76064184925212 40.74600287959774))","155958","Q","435690413240450290","BELL BOULEVARD","64 AVENUE","HORACE HARDING EXPRESSWAY","LINESTRING (1050380.2201000005 211612.8084000051, 1050548.8483999968 211148.29160000384)","7","FAIR","2022-11-09T00:00:00.000","496.450118644"
"MULTILINESTRING ((-74.12274258374086 40.56590180827324, -74.12296884454985 40.565644952377184))","10300","S","557700522970543300","8 STREET","CLARENCE PLACE","PETER AVENUE","LINESTRING (950147.38879999518 145473.64820000529, 950084.39360000193 145380.15739999712)","9","GOOD","2022-09-21T00:00:00.000","112.733867619"
"MULTILINESTRING ((-73.75627266979669 40.736576906712806, -73.75602504731839 40.736047764289545))","132058","Q","435690416040452250","BELL BOULEVARD","77 AVENUE","KINGSBURY AVENUE","LINESTRING (1051722.8977999985 207912.00220000744, 1051793.7505999953 207725.39180000126, 1051862.9106000066 207532.8003000021)","8","GOOD","2022-11-09T00:00:00.000","204.632821105"
"MULTILINESTRING ((-73.8230451080666 40.58388133954971, -73.82306669512641 40.583945931467255))","185934","Q","433540460790460820","BEACH 102 STREET","ROCKAWAY BEACH BOULEVARD","ROCKAWAY FREEWAY","MULTILINESTRING ((1033132.3516000062 152667.239199996, 1033188.375 152561.24529999495, 1033241.4063999951 152453.67000000179, 1033291.3736000061 152344.64149999619, 1033310.8190000057 152298.84430000186, 1033338.2268999964 152234.28720000386, 1033395.582","9","GOOD","2021-04-30T00:00:00.000","24.2842025115"
"MULTILINESTRING ((-73.85327599081434 40.894675542503535, -73.85313545298402 40.89492209686031))","89240","X","210620215620228710","BARNES AVENUE","BRONXWOOD AVENUE","EAST 236 STREET","LINESTRING (1024814.9340000004 265266.42319999635, 1024853.6379999965 265356.3180000037)","8","GOOD","2022-11-22T00:00:00.000","97.8727474023"
"MULTILINESTRING ((-74.09319188700972 40.58246260149038, -74.09141397267389 40.58154781839308))","12053","S","548150535270538470","SLATER BOULEVARD","LACONIA AVENUE","MASON AVENUE","LINESTRING (958364.12420000136 151497.03159999847, 958857.627000004 151163.23299999535)","6","FAIR","2023-04-04T00:00:00.000","595.790667076"
"MULTILINESTRING ((-73.8633319837705 40.87137515740598, -73.86318238442557 40.87217554213761))","87848","X","210620216620265220","BARNES AVENUE","BURKE AVENUE","SOUTH OAK DRIVE","LINESTRING (1022047.9907999933 256772.67059999704, 1022088.9094000012 257064.34659999609)","9","GOOD","2023-04-20T00:00:00.000","294.532206731"
"MULTILINESTRING ((-74.08510200171379 40.57826576204777, -74.0835254020114 40.576998881424835))","14084","S","548150541750544430","SLATER BOULEVARD","OLYMPIA BOULEVARD","QUINCY AVENUE","LINESTRING (960040.78429999948 150364.04829999804, 960609.76260000467 149965.73219999671, 961047.28139999509 149503.75480000675)","5","FAIR","2023-07-12T00:00:00.000","636.274955068"
"MULTILINESTRING ((-73.75782086072344 40.73971802933039, -73.75734284283595 40.73871885283546))","156656","Q","435690415490415690","BELL BOULEVARD","73 ROAD","75 AVENUE","LINESTRING (1051376.047999993 208873.4307000041, 1051508.2425999939 208509.75040000677)","7","FAIR","2022-11-09T00:00:00.000","387.384368252"
"MULTILINESTRING ((-73.89769601133267 40.89068182365987, -73.89756357658001 40.89101024570451))","278527","X","214920248720275170","BROADWAY","MANH COLLEGE PARKWAY","WEST 251 STREET","LINESTRING (1012806.9106000066 265660.80560000241, 1012884.0758000016 264877.65420000255, 1012794.3252000064 264509.62340000272, 1012711.6712000072 264325.539199993, 1012650.0638000071 264168.88269999623, 1012639.5322999954 264134.32240000367, 1012572.26","6","FAIR","2023-06-09T00:00:00.000","125.134523584"
"MULTILINESTRING ((-73.86927751289439 40.869677285088, -73.86932740914735 40.87059324655198))","87551","X","210420207720245840","BARKER AVENUE","ADEE AVENUE","LESTER STREET","LINESTRING (1020404.5722000003 256151.559799999, 1020390.2743999958 256485.25980000198)","9","GOOD","2023-04-18T00:00:00.000","334.006163247"
"MULTILINESTRING ((-73.89705763495883 40.892140457878384, -73.89675790103354 40.892645442652615))","186087","X","214920248720275170","BROADWAY","MANH COLLEGE PARKWAY","WEST 251 STREET","LINESTRING (1012806.9106000066 265660.80560000241, 1012884.0758000016 264877.65420000255, 1012794.3252000064 264509.62340000272, 1012711.6712000072 264325.539199993, 1012650.0638000071 264168.88269999623, 1012639.5322999954 264134.32240000367, 1012572.26","6","FAIR","2023-06-09T00:00:00.000","201.788692471"
"MULTILINESTRING ((-73.70809030463452 40.73933634462704, -73.70741787931033 40.737528426382724))","102927","Q","427288416940449690","261 STREET","83 AVENUE","HILLSIDE AVENUE","LINESTRING (1065143.0541999936 208771.56080000103, 1065331.5937999934 208113.50439999998)","8","GOOD","2023-05-23T00:00:00.000","684.532984122"
"MULTILINESTRING ((-73.82354886863921 40.58168371524644, -73.82361772544917 40.58170753271763, -73.8236797058614 40.58174519778406, -73.82372801285334 40.58179434965671, -73.82375800872143 40.581850291300945, -73.823768641798 40.58190736581695))","185008","Q","433525441700462200","BEACH 102 LANE","DEAD END","SHORE FRONT PARKWAY","LINESTRING (1033254.1130000055 151796.85040000081, 1033281.0289999992 151659.28839999437, 1033314.2145999968 151489.68240000308, 1033313.1416999996 151461.09659999609, 1033306.5111999959 151431.89720000327, 1033294.0571999997 151403.7213999927, 1033276.1","8","GOOD","2002-11-04T00:00:00.000","108.416156442"
"MULTILINESTRING ((-73.76797128017695 40.757578215144534, -73.76781565040356 40.75725207070317))","131979","Q","435690410340410440","BELL BOULEVARD","46 ROAD","47 AVENUE","LINESTRING (1048531.4748000056 215368.0109000057, 1048574.9053999931 215249.30040000379, 1048615.6928000003 215123.82819999754)","8","GOOD","2022-11-09T00:00:00.000","126.405695386"
"MULTILINESTRING ((-73.75897335134577 40.742143901953206, -73.75835399973823 40.740820330545255))","157186","Q","435690414490415390","BELL BOULEVARD","69 AVENUE","73 AVENUE","LINESTRING (1051054.2870000005 209756.89350000024, 1051229.4966000021 209277.18000000715)","8","GOOD","2022-06-30T00:00:00.000","511.850957654"
"MULTILINESTRING ((-74.08773666318274 40.643894460367804, -74.0875157034171 40.643526690338))","315784","S","556600521460545050","YORK AVENUE","CARLYLE STREET","RICHMOND TERRACE","LINESTRING (959469.67960000038 174811.27220000327, 959584.02969999611 174562.4932000041, 959655.3844999969 174410.00660000741, 959813.44949999452 174070.37720000744, 959901.83599999547 173876.6861999929, 959963.0217999965 173742.63600000739, 959918.98639","9","GOOD","2018-06-05T00:00:00.000","147.353853828"
"MULTILINESTRING ((-73.75822488747417 40.67369862837631, -73.75823398709683 40.67349223065454))","62963","Q","435670422390422620","BELKNAP STREET","137 AVENUE","139 AVENUE","LINESTRING (1051372.439199999 185682.451000005, 1051315.9661999941 184815.53659999371, 1051313.6498000026 184740.33339999616)","8","GOOD","2020-01-31T00:00:00.000","75.238866278"
"MULTILINESTRING ((-73.76713886307756 40.75559424569224, -73.76704014363173 40.755300751391836, -73.76692406584428 40.755010317820116, -73.76679089915817 40.75472383967497, -73.76664101971384 40.75444217224199, -73.76647491026652 40.754166153907725, -73.76629312472062 40.75389658807944))","181120","Q","435690410590410790","BELL BOULEVARD","48 AVENUE","50 AVENUE","LINESTRING (1048756.8408000022 214668.87180000544, 1048764.0093999952 214645.80079999566, 1048791.6438000053 214538.94419999421, 1048824.0849000067 214433.2160000056, 1048861.2566000074 214328.94120000303, 1048903.054399997 214226.43160000443, 1048949.34","9","GOOD","2022-11-09T00:00:00.000","663.336718481"
"MULTILINESTRING ((-74.07844049189751 40.61308409127338, -74.07914598162766 40.61301862514567))","117760","S","548125522929525908","SKYLINE DRIVE","CIRCLE LOOP","DEAD END","LINESTRING (962547.57359999418 162866.23420000076, 962471.60259999335 162649.2037999928, 962275.70739999413 162625.52920000255, 962080.99989999831 162495.28020000458, 962057.1155000031 162479.14839999378, 962030.81630000472 162466.33339999616, 962002.827","8","GOOD","2016-12-19T00:00:00.000","197.320592102"
"MULTILINESTRING ((-74.16753258734379 40.57597579215941, -74.16922450633609 40.576795745618455))","196484","S","556625529180544750","YUKON AVENUE","FOREST HILL ROAD","RICHMOND AVENUE","LINESTRING (937093.08799999952 149425.46420000494, 937123.88189999759 149421.19920000434, 937129.63330000639 149421.53059999645, 937155.83400000632 149423.03319999576, 937187.10369999707 149431.2187999934, 937215.85340000689 149445.28039999306, 937240.60","8","GOOD","2022-12-20T00:00:00.000","556.906899387"
"MULTILINESTRING ((-73.76766962817888 40.75690738593541, -73.76716451650519 40.75565762219941))","98345","Q","435690410440410590","BELL BOULEVARD","47 AVENUE","48 AVENUE","LINESTRING (1048615.6928000003 215123.82819999754, 1048756.8408000022 214668.87180000544)","8","GOOD","2022-11-09T00:00:00.000","476.348699797"
"MULTILINESTRING ((-73.83883012122799 40.84326983313054, -73.83893642164013 40.84321353142663))","236793","X","210425232830241720","HUTCHINSON RIVER PKWY SB ET 2","FINK AVENUE","HUTCHINSON RIVER PARKWAY","LINESTRING (1029306.6965000033 247027.18529999256, 1029256.729399994 246957.09679999948, 1029211.962500006 246874.39360000193, 1029172.5235999972 246801.5393999964, 1029146.670599997 246767.77639999986, 1029122.113499999 246743.81640000641, 1029092.04129","7","FAIR","2015-06-10T00:00:00.000","35.8582401728"
"MULTILINESTRING ((-73.823768641798 40.58190736581695, -73.82386765786869 40.58187921413256, -73.82397705635222 40.581865251643116, -73.82409129803182 40.581868092168726, -73.82420360570885 40.58188862585086, -73.824307128714 40.58192558868743, -73.82439632401875 40.58197585731185, -73.82446784015607 40.582035175255484))","114458","Q","433525435780435780","BEACH 102 LANE","BEND","BEND","LINESTRING (1033007.7914000005 151376.39200000465, 1033027.6995999962 151354.820600003, 1033052.5124000013 151336.55619999766, 1033081.2952000052 151323.14740000665, 1033112.5057999939 151315.72939999402, 1033144.2412 151314.7582000047, 1033174.618599996","8","GOOD","2002-11-04T00:00:00.000","215.912004965"
"MULTILINESTRING ((-73.81166525008757 40.869286734386186, -73.81163655562075 40.86918522386028, -73.81162159519508 40.86903395301749))","237297","X","210450200586210395","HUTCHINSON RIVER PKWY SB ET 5","BARTOW CIRCLE","HUTCHINSON RIVER PKWY NB ET 5","LINESTRING (1035071.5634000003 256860.80040000379, 1035165.3493999988 256776.83740000427, 1035236.2186000049 256716.95559999347, 1035310.1555999964 256660.52519999444, 1035386.9039999992 256607.77599999309, 1035466.1788000017 256558.91120000184, 1035547.","9","GOOD","2009-04-28T00:00:00.000","93.0951895768"
