"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00331-0065","500 GRAND STREET","LOWER EAST SIDE","D4  -ELEVATOR","263","1949","299510","9752046","32.56","4253042","14.2","5499004","44665000","149.13","1-00309-0006","54 ORCHARD STREET","LOWER EAST SIDE","D7  -ELEVATOR","35","2007","33860","1099096","32.46","480812","14.2","618284","9316000","275.13","0.45","1-00308-0020","55 ORCHARD STREET","LOWER EAST SIDE","D7  -ELEVATOR","14","1900","15500","496930","32.06","219945","14.19","276985","4200000","270.97","0.49","1-00424-0010","169 BOWERY","LOWER EAST SIDE","D7  -ELEVATOR","13","1920","14839","489242","32.97","253302","17.07","235940","3424000","230.74","0.67","2019"
"1-00343-0062","63 PITT STREET","LOWER EAST SIDE","C6  -WALK-UP","16","1920","10070","460300","45.71","133830","13.29","326470","2651000","263.26","1-00350-0066","163 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","312930","46.36","93083","13.79","219847","2183000","323.41","0.19","1-00350-0067","161 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","308543","45.71","89708","13.29","218835","2127000","315.11","0.19","1-00350-0065","165 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","304425","45.1","87075","12.9","217350","2088000","309.33","0.19","2019"
"1-00344-0017","129 RIDGE STREET","LOWER EAST SIDE","D4  -ELEVATOR","30","1925","27299","823884","30.18","291826","10.69","532058","4321000","158.28","1-00341-0058","410 GRAND STREET","LOWER EAST SIDE","D6  -ELEVATOR","404","1972","225000","6790500","30.18","2405250","10.69","4385250","45135000","200.6","0.24","1-00341-0001","460 GRAND STREET","LOWER EAST SIDE","D6  -ELEVATOR","201","1976","265181","7820188","29.49","3155654","11.9","4664534","43649000","164.6","0.24","1-00345-0017","331 EAST HOUSTON STREET","LOWER EAST SIDE","D1  -ELEVATOR","78","2014","57128","1772682","31.03","647260","11.33","1125422","19497000","341.29","0.09","2019"
"1-00344-0154","141 ATTORNEY STREET","LOWER EAST SIDE","C6  -WALK-UP","21","1920","18753","336054","17.92","127708","6.81","208346","1552000","82.76","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","259786","17.92","98725","6.81","161061","1200000","82.78","0.18","1-00415-0012","176 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","60","1920","32786","560968","17.11","213109","6.5","347859","2559000","78.05","0.35","1-00348-0004","102 SUFFOLK STREET","LOWER EAST SIDE","C4  -WALK-UP","18","1920","9858","284699","28.88","84286","8.55","200413","1623000","164.64","0.11","2019"
"1-00344-0173","72 CLINTON STREET","LOWER EAST SIDE","C6  -WALK-UP","22","1925","14425","653741","45.32","211759","14.68","441982","3590000","248.87","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","1083158","47.67","335377","14.76","747781","3747000","164.91","0.47","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","543840","45.32","176160","14.68","367680","2249000","187.42","0.41","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","646131","44.57","195999","13.52","450132","1200000","82.78","0.18","2019"
"1-00348-0002","98 SUFFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","20","1920","9519","324503","34.09","151923","15.96","172580","1402000","147.28","1-00350-0065","165 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","230108","34.09","99833","14.79","130275","2088000","309.33","0.18","1-00355-0067","157 SUFFOLK STREET","LOWER EAST SIDE","C1  -WALK-UP","35","1900","22398","761308","33.99","323203","14.43","438105","9532000","425.57","0.18","1-00348-0012","120 SUFFOLK STREET","LOWER EAST SIDE","C4  -WALK-UP","11","1900","7200","246312","34.21","109440","15.2","136872","1598000","221.94","0","2019"
"1-00348-0003","100 SUFFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","20","1920","9858","395700","40.14","175374","17.79","220326","1789000","181.48","1-00350-0065","165 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","270945","40.14","120083","17.79","150862","2088000","309.33","0.18","1-00355-0067","157 SUFFOLK STREET","LOWER EAST SIDE","C1  -WALK-UP","35","1900","22398","896816","40.04","390621","17.44","506195","9532000","425.57","0.18","1-00348-0012","120 SUFFOLK STREET","LOWER EAST SIDE","C4  -WALK-UP","11","1900","7200","289872","40.26","131040","18.2","158832","1598000","221.94","0","2019"
"1-00348-0007","110 SUFFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","12","1920","11652","448136","38.46","115937","9.95","332199","2698000","231.55","1-00286-0012","231 HENRY STREET","LOWER EAST SIDE","C4  -WALK-UP","12","1900","8610","331141","38.46","85670","9.95","245471","1563000","181.53","0.32","1-00343-0060","67 PITT STREET","LOWER EAST SIDE","C4  -WALK-UP","20","1920","9570","374187","39.1","91106","9.52","283081","2739000","286.21","0.14","1-00348-0012","120 SUFFOLK STREET","LOWER EAST SIDE","C4  -WALK-UP","11","1900","7200","267696","37.18","66096","9.18","201600","1598000","221.94","0","2019"
"1-00348-0009","114 SUFFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","16","1920","8750","255500","29.2","95113","10.87","160387","1302000","148.8","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","716652","31.54","248806","10.95","467846","3747000","164.91","0.36","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","350400","29.2","130440","10.87","219960","2249000","187.42","0.3","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","412295","28.44","140911","9.72","271384","1200000","82.78","0.09","2019"
"1-00348-0011","118 SUFFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","13","1910","7200","312192","43.36","131832","18.31","180360","1465000","203.47","1-00350-0067","161 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","292140","43.28","94635","14.02","197505","2127000","315.11","0.18","1-00349-0015","157 STANTON STREET","LOWER EAST SIDE","C4  -WALK-UP","20","1910","8255","358515","43.43","117634","14.25","240881","2107000","255.24","0.08",,,,,,,,,,,,,,,,"2019"
"1-00348-0030","103 CLINTON STREET","LOWER EAST SIDE","C6  -WALK-UP","18","1920","9850","272057","27.62","106085","10.77","165972","1338000","135.84","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","680978","29.97","246761","10.86","434217","3747000","164.91","0.36","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","331440","27.62","129240","10.77","202200","2249000","187.42","0.3","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","389534","26.87","139461","9.62","250073","1200000","82.78","0.09","2019"
"1-00348-0053","173 RIVINGTON STREET","LOWER EAST SIDE","C6  -WALK-UP","28","1920","14701","272557","18.54","173766","11.82","98791","742000","50.47","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","474435","20.88","270619","11.91","203816","3747000","164.91","0.39","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","222480","18.54","141840","11.82","80640","2249000","187.42","0.35","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","257757","17.78","154683","10.67","103074","1200000","82.78","0.14","2019"
"1-00348-0073","172 DELANCEY STREET","LOWER EAST SIDE","C6  -WALK-UP","14","1920","12180","373804","30.69","136294","11.19","237510","1929000","158.37","1-00286-0001","209 HENRY STREET","LOWER EAST SIDE","C7  -WALK-UP","12","1900","10980","336976","30.69","122866","11.19","214110","1699000","154.74","0.31","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","731876","32.21","273346","12.03","458530","3747000","164.91","0.39","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","358440","29.87","143400","11.95","215040","2249000","187.42","0.35","2019"
"1-00349-0014","153 STANTON STREET","LOWER EAST SIDE","C6  -WALK-UP","12","1920","8085","200670","24.82","80042","9.9","120628","959000","118.61","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","336910","23.24","137722","9.5","199188","1200000","82.78","0.12","1-00286-0001","209 HENRY STREET","LOWER EAST SIDE","C7  -WALK-UP","12","1900","10980","272524","24.82","108702","9.9","163822","1699000","154.74","0.4","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","598497","26.34","244034","10.74","354463","3747000","164.91","0.44","2019"
"1-00350-0057","309 EAST HOUSTON STREET","LOWER EAST SIDE","C6  -WALK-UP","31","1920","20837","890990","42.76","240459","11.54","650531","5283000","253.54","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","513120","42.76","138480","11.54","374640","2249000","187.42","0.45","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","1024762","45.1","264030","11.62","760732","3747000","164.91","0.53","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","608874","42","150624","10.39","458250","1200000","82.78","0.22","2019"
"1-00354-0027","139 NORFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","20","1920","10255","440555","42.96","101319","9.88","339236","2755000","268.65","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","515520","42.96","162960","13.58","352560","2249000","187.42","0.29","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","1029307","45.3","310383","13.66","718924","3747000","164.91","0.41","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","611773","42.2","180198","12.43","431575","1200000","82.78","0.08","2019"
"1-00354-0031","128 RIVINGTON STREET","LOWER EAST SIDE","C6  -WALK-UP","24","1920","19405","403236","20.78","193468","9.97","209768","1615000","83.23","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","290375","20.03","126559","8.73","163816","1200000","82.78","0.08","1-00286-0001","209 HENRY STREET","LOWER EAST SIDE","C7  -WALK-UP","12","1900","10980","237168","21.6","100247","9.13","136921","1699000","154.74","0.43","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","249360","20.78","118560","9.88","130800","2249000","187.42","0.29","2019"
"1-00355-0039","168 NORFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","20","1920","7300","132276","18.12","40369","5.53","91907","687000","94.11","1-00355-0038","166 NORFOLK STREET","LOWER EAST SIDE","C4  -WALK-UP","24","1930","8898","153313","17.23","81862","9.2","71451","2436000","273.77","0","1-00349-0018","163 STANTON STREET","LOWER EAST SIDE","C4  -WALK-UP","19","1900","9415","170600","18.12","47640","5.06","122960","3333000","354.01","0.1","1-00420-0043","146 FORSYTH STREET","LOWER EAST SIDE","C4  -WALK-UP","24","1910","10675","194712","18.24","81771","7.66","112941","3585000","335.83","0.31","2019"
"1-00355-0040","170 NORFOLK STREET","LOWER EAST SIDE","C6  -WALK-UP","23","1900","10610","445090","41.95","155755","14.68","289335","2350000","221.49","1-00350-0067","161 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","283163","41.95","89708","13.29","193455","2127000","315.11","0.09","1-00350-0066","163 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","287550","42.6","93083","13.79","194467","2183000","323.41","0.09","1-00350-0065","165 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","279045","41.34","87075","12.9","191970","2088000","309.33","0.09","2019"
"1-00372-0055","290 EAST 2 STREET","ALPHABET CITY","C6  -WALK-UP","20","1920","17990","413410","22.98","129528","7.2","283882","2228000","123.85","1-00392-0022","374 EAST 10 STREET","ALPHABET CITY","C4  -WALK-UP","17","1900","20599","482223","23.41","153051","7.43","329172","4696000","227.97","0.36","1-00392-0048","627 EAST 9 STREET","ALPHABET CITY","C1  -WALK-UP","35","1900","43871","1008156","22.98","315871","7.2","692285","8925000","203.44","0.36","1-00397-0022","181 EAST 2 STREET","ALPHABET CITY","C4  -WALK-UP","50","1910","26208","592563","22.61","176642","6.74","415921","1973000","75.28","0.29","2019"
"1-00373-0021","336 EAST 4 STREET","ALPHABET CITY","D4  -ELEVATOR","18","1920","16914","734744","43.44","243900","14.42","490844","3986000","235.66","1-00346-0001","50 NORFOLK STREET","LOWER EAST SIDE","D1  -ELEVATOR","156","1982","137909","5990767","43.44","1988648","14.42","4002119","9941000","72.08","0.51","1-00421-0044","174 FORSYTH STREET","LOWER EAST SIDE","D3  -ELEVATOR","40","1993","38880","1671451","42.99","523325","13.46","1148126","1933000","49.72","0.6","1-00336-0005","15 BIALYSTOKER PLACE","LOWER EAST SIDE","D3  -ELEVATOR","128","1982","98052","4913386","50.11","1817884","18.54","3095502","22403000","228.48","0.43","2019"
"1-00373-0040","327 EAST 3 STREET","ALPHABET CITY","C6  -WALK-UP","29","1920","17610","484803","27.53","210792","11.97","274011","2209000","125.44","1-00395-0001","195 AVENUE B","ALPHABET CITY","C7  -WALK-UP","18","1910","27000","743310","27.53","323190","11.97","420120","5490000","203.33","0.45","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","642578","28.28","274936","12.1","367642","3747000","164.91","0.75","1-00413-0004","112 ELDRIDGE STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1909","12000","311160","25.93","144120","12.01","167040","2249000","187.42","0.69","2019"
"1-00373-0046","317 EAST 3 STREET","ALPHABET CITY","C6  -WALK-UP","35","1925","20076","540647","26.93","237901","11.85","302746","2433000","121.19","1-00397-0022","181 EAST 2 STREET","ALPHABET CITY","C4  -WALK-UP","50","1910","26208","686912","26.21","323931","12.36","362981","1973000","75.28","0.3","1-00392-0022","374 EAST 10 STREET","ALPHABET CITY","C4  -WALK-UP","17","1900","20599","556379","27.01","268817","13.05","287562","4696000","227.97","0.31","1-00385-0055","230 EAST 2 STREET","ALPHABET CITY","C4  -WALK-UP","24","1910","9049","243690","26.93","117456","12.98","126234","2528000","279.37","0.15","2019"
"1-00373-0049","311 EAST 3 STREET","ALPHABET CITY","C6  -WALK-UP","38","1920","20076","513143","25.56","228264","11.37","284879","2274000","113.27","1-00395-0001","195 AVENUE B","ALPHABET CITY","C7  -WALK-UP","18","1910","27000","690120","25.56","306990","11.37","383130","5490000","203.33","0.45","1-00298-0015","58 HESTER STREET","LOWER EAST SIDE","C7  -WALK-UP","40","1900","22722","597816","26.31","261303","11.5","336513","3747000","164.91","0.75","1-00389-0022","208 EAST 7 STREET","ALPHABET CITY","C7  -WALK-UP","30","1900","19418","465838","23.99","222919","11.48","242919","5675000","292.25","0.2","2019"
"1-00374-0006","64 AVENUE C","ALPHABET CITY","C6  -WALK-UP","18","1910","16872","388393","23.02","167708","9.94","220685","1733000","102.71","1-00395-0001","195 AVENUE B","ALPHABET CITY","C7  -WALK-UP","18","1910","27000","642600","23.8","287820","10.66","354780","5490000","203.33","0.4","1-00286-0001","209 HENRY STREET","LOWER EAST SIDE","C7  -WALK-UP","12","1900","10980","252760","23.02","109141","9.94","143619","1699000","154.74","0.68","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","310961","21.45","138446","9.55","172515","1200000","82.78","0.5","2019"
"1-00374-0065","307 EAST 4 STREET","ALPHABET CITY","C6  -WALK-UP","20","1900","19354","461786","23.86","231474","11.96","230312","1819000","93.99","1-00392-0022","374 EAST 10 STREET","ALPHABET CITY","C4  -WALK-UP","17","1900","20599","500350","24.29","250896","12.18","249454","4696000","227.97","0.27","1-00392-0048","627 EAST 9 STREET","ALPHABET CITY","C1  -WALK-UP","35","1900","43871","1046762","23.86","524697","11.96","522065","8925000","203.44","0.27","1-00397-0022","181 EAST 2 STREET","ALPHABET CITY","C4  -WALK-UP","50","1910","26208","615626","23.49","301392","11.5","314234","1973000","75.28","0.32","2019"
"1-00375-0030","742 EAST 6 STREET","ALPHABET CITY","C6  -WALK-UP","19","1902","17556","622185","35.44","255966","14.58","366219","2974000","169.4","1-00392-0022","374 EAST 10 STREET","ALPHABET CITY","C4  -WALK-UP","17","1900","20599","739092","35.88","305071","14.81","434021","4696000","227.97","0.23","1-00392-0048","627 EAST 9 STREET","ALPHABET CITY","C1  -WALK-UP","35","1900","43871","1554788","35.44","639639","14.58","915149","8925000","203.44","0.23","1-00397-0022","181 EAST 2 STREET","ALPHABET CITY","C4  -WALK-UP","50","1910","26208","919377","35.08","370057","14.12","549320","1973000","75.28","0.34","2019"
"1-00376-0005","98 AVENUE C","ALPHABET CITY","C6  -WALK-UP","24","1900","15086","431007","28.57","164287","10.89","266720","2159000","143.11","1-00395-0001","195 AVENUE B","ALPHABET CITY","C7  -WALK-UP","18","1910","27000","802980","29.74","309150","11.45","493830","5490000","203.33","0.32","1-00353-0024","129 RIVINGTON STREET","LOWER EAST SIDE","C7  -WALK-UP","19","1930","14497","397073","27.39","149754","10.33","247319","1200000","82.78","0.57",,,,,,,,,,,,,,,,"2019"
"1-00376-0016","248 EAST 7 STREET","ALPHABET CITY","C6  -WALK-UP","12","1928","11802","524363","44.43","179390","15.2","344973","2802000","237.42","1-00372-0056","286 EAST 2 STREET","ALPHABET CITY","C1  -WALK-UP","20","1920","18062","814235","45.08","295314","16.35","518921","5015000","277.65","0.19","1-00372-0024","302 EAST 3 STREET","ALPHABET CITY","C4  -WALK-UP","21","1900","17970","764983","42.57","281949","15.69","483034","6195000","344.74","0.19","1-00407-0006","220 AVENUE A","ALPHABET CITY","C4  -WALK-UP","16","1900","14976","665384","44.43","227635","15.2","437749","3477000","232.17","0.44","2019"
"1-00376-0018","250 EAST 7 STREET","ALPHABET CITY","C6  -WALK-UP","12","1928","11802","502293","42.56","157793","13.37","344500","2798000","237.08","1-00372-0056","286 EAST 2 STREET","ALPHABET CITY","C1  -WALK-UP","20","1920","18062","780459","43.21","262260","14.52","518199","5015000","277.65","0.19","1-00372-0024","302 EAST 3 STREET","ALPHABET CITY","C4  -WALK-UP","21","1900","17970","731379","40.7","249064","13.86","482315","6195000","344.74","0.19","1-00407-0006","220 AVENUE A","ALPHABET CITY","C4  -WALK-UP","16","1900","14976","637379","42.56","200229","13.37","437150","3477000","232.17","0.44","2019"
"1-00376-0019","254 EAST 7 STREET","ALPHABET CITY","C6  -WALK-UP","20","1910","14508","640238","44.13","245766","16.94","394472","3204000","220.84","1-00379-0010","402 EAST 10 STREET","ALPHABET CITY","C1  -WALK-UP","12","1900","8883","379482","42.72","147280","16.58","232202","1443000","162.45","0.14","1-00406-0060","509 EAST 12 STREET","ALPHABET CITY","C1  -WALK-UP","12","1900","8458","373252","44.13","143279","16.94","229973","3431000","405.65","0.4","1-00372-0056","286 EAST 2 STREET","ALPHABET CITY","C1  -WALK-UP","20","1920","18062","805204","44.58","296759","16.43","508445","5015000","277.65","0.19","2019"
